"('OVERALL', 'REB')","('OVERALL', 'OREB')","('OVERALL', 'DREB')","('OVERALL', 'REB_CONTESTED')","('OVERALL', 'REB_UNCONTESTED')","('0 Contesting Rebounders', 'REB')","('0 Contesting Rebounders', 'OREB')","('0 Contesting Rebounders', 'DREB')","('0 Contesting Rebounders', 'REB_FREQ')","('1 Contesting Rebounder', 'REB')","('1 Contesting Rebounder', 'OREB')","('1 Contesting Rebounder', 'DREB')","('1 Contesting Rebounder', 'REB_FREQ')","('2+ Contesting Rebounders', 'REB')","('2+ Contesting Rebounders', 'OREB')","('2+ Contesting Rebounders', 'DREB')","('2+ Contesting Rebounders', 'REB_FREQ')","('0-3 Feet', 'REB')","('0-3 Feet', 'OREB')","('0-3 Feet', 'DREB')","('0-3 Feet', 'REB_FREQ')","('3-6 Feet', 'REB')","('3-6 Feet', 'OREB')","('3-6 Feet', 'DREB')","('3-6 Feet', 'REB_FREQ')",PLAYER_ID,SEASON,TEAM_ID,"('6-10 Feet', 'REB')","('6-10 Feet', 'OREB')","('6-10 Feet', 'DREB')","('6-10 Feet', 'REB_FREQ')","('10+ Feet', 'REB')","('10+ Feet', 'OREB')","('10+ Feet', 'DREB')","('10+ Feet', 'REB_FREQ')"
162,23,139,35,127,127.0,15.0,112.0,0.784,32.0,7.0,25.0,0.198,3.0,1.0,2.0,0.019,18.0,1.0,17.0,0.111,48.0,6.0,42.0,0.296,1627747,2020-21,1610612754,40.0,6.0,34.0,0.247,56.0,10.0,46.0,0.346
53,11,42,13,40,40.0,6.0,34.0,0.755,9.0,3.0,6.0,0.17,4.0,2.0,2.0,0.075,9.0,4.0,5.0,0.17,17.0,1.0,16.0,0.321,1627747,2020-21,1610612751,14.0,0.0,14.0,0.264,13.0,6.0,7.0,0.245
64,13,51,17,47,47.0,6.0,41.0,0.734,14.0,4.0,10.0,0.219,3.0,3.0,0.0,0.047,9.0,2.0,7.0,0.141,26.0,4.0,22.0,0.406,1627747,2021-22,1610612739,14.0,2.0,12.0,0.219,15.0,5.0,10.0,0.234
149,29,120,37,112,112.0,11.0,101.0,0.752,31.0,13.0,18.0,0.208,6.0,5.0,1.0,0.04,19.0,9.0,10.0,0.128,46.0,8.0,38.0,0.309,1627747,2021-22,1610612754,40.0,3.0,37.0,0.268,44.0,9.0,35.0,0.295
256,53,203,66,190,190.0,25.0,165.0,0.742,59.0,23.0,36.0,0.23,7.0,5.0,2.0,0.027,55.0,15.0,40.0,0.215,85.0,11.0,74.0,0.332,1627747,2017-18,1610612751,65.0,13.0,52.0,0.254,51.0,14.0,37.0,0.199
281,53,228,65,216,216.0,26.0,190.0,0.769,57.0,22.0,35.0,0.203,8.0,5.0,3.0,0.028,36.0,12.0,24.0,0.128,82.0,13.0,69.0,0.292,1627747,2022-23,1610612739,82.0,6.0,76.0,0.292,81.0,22.0,59.0,0.288
280,39,241,60,220,220.0,19.0,201.0,0.786,56.0,17.0,39.0,0.2,4.0,3.0,1.0,0.014,30.0,9.0,21.0,0.107,78.0,15.0,63.0,0.279,1627747,2023-24,1610612739,97.0,5.0,92.0,0.346,75.0,10.0,65.0,0.268
188,49,139,49,139,139.0,25.0,114.0,0.739,39.0,16.0,23.0,0.207,10.0,8.0,2.0,0.053,43.0,13.0,30.0,0.229,52.0,15.0,37.0,0.277,1627747,2019-20,1610612751,52.0,8.0,44.0,0.277,41.0,13.0,28.0,0.218
21,5,16,6,15,15.0,1.0,14.0,0.714,5.0,3.0,2.0,0.238,1.0,1.0,0.0,0.048,3.0,2.0,1.0,0.143,8.0,2.0,6.0,0.381,1641723,2024-25,1610612737,5.0,0.0,5.0,0.238,5.0,1.0,4.0,0.238
33,6,27,8,25,25.0,4.0,21.0,0.758,8.0,2.0,6.0,0.242,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.152,12.0,1.0,11.0,0.364,1641723,2023-24,1610612737,5.0,0.0,5.0,0.152,11.0,5.0,6.0,0.333
