PLAYER_ID,PLAYER,SEASON,ARCHETYPE
1628983,Shai Gilgeous-Alexander,2020-21,Secondary Shot Creator
1630208,Nick Richards,2022-23,Movement Shooter
202397,I. Smith,2023-24,Movement Shooter
1628436,Luke Kornet,2023-24,Movement Shooter
201599,DeAndre Jordan,2022-23,Movement Shooter
1627751,Jakob Poeltl,2017-18,Movement Shooter
1626161,W. Cauley-Stein,2018-19,Movement Shooter
1629234,Drew Eubanks,2020-21,Movement Shooter
1629234,Drew Eubanks,2023-24,Movement Shooter
1627751,Jakob Poeltl,2024-25,Movement Shooter
1628396,Tony Bradley,2019-20,Movement Shooter
1629234,Drew Eubanks,2019-20,Movement Shooter
1628389,Bam Adebayo,2020-21,Movement Shooter
203948,J. O'Bryant III,2015-16,Movement Shooter
1630288,Jeff Dowtin Jr.,2023-24,Movement Shooter
2730,D. Howard,2019-20,Movement Shooter
203462,A. Goodwin,2016-17,Movement Shooter
201188,M. Gasol,2015-16,Movement Shooter
201580,J. McGee,2022-23,Movement Shooter
1889,A. Miller,2015-16,Movement Shooter
1629640,Keldon Johnson,2019-20,Movement Shooter
203098,J. Jenkins,2018-19,Movement Shooter
1628997,Caleb Martin,2019-20,Movement Shooter
1642358,AJ Johnson,2024-25,Movement Shooter
1641798,Jaylen Martin,2024-25,Movement Shooter
1628411,W. Iwundu,2021-22,Movement Shooter
1629185,C. Chiozza,2019-20,Movement Shooter
203503,T. Snell,2020-21,Movement Shooter
201959,Taj Gibson,2016-17,Movement Shooter
2730,D. Howard,2021-22,Movement Shooter
1630696,Dru Smith,2024-25,Movement Shooter
200746,L. Aldridge,2020-21,Movement Shooter
1626181,Norman Powell,2021-22,Movement Shooter
1630215,Jared Butler,2022-23,Movement Shooter
203954,Joel Embiid,2023-24,Movement Shooter
203918,R. Hood,2019-20,Movement Shooter
2200,P. Gasol,2016-17,Movement Shooter
203584,T. Daniels,2015-16,Movement Shooter
1628427,Vlatko Čančar,2021-22,Movement Shooter
1630264,Anthony Gill,2021-22,Movement Shooter
1629003,Shake Milton,2023-24,Movement Shooter
200782,P.J. Tucker,2023-24,3&D
200782,P.J. Tucker,2022-23,3&D
200782,P.J. Tucker,2020-21,3&D
200782,P.J. Tucker,2019-20,3&D
1626253,A. Toupane,2015-16,3&D
200782,P.J. Tucker,2018-19,3&D
1629109,G. Clark,2021-22,3&D
200782,P.J. Tucker,2017-18,3&D
203493,R. Bullock,2022-23,3&D
1630695,Micah Potter,2024-25,3&D
201980,D. Green,2021-22,3&D
201587,Nicolas Batum,2024-25,3&D
1630171,Isaac Okoro,2022-23,3&D
1630688,I. Wainright,2022-23,3&D
200782,P.J. Tucker,2021-22,3&D
201575,B. Rush,2016-17,3&D
203085,A. Rivers,2022-23,3&D
201587,Nicolas Batum,2023-24,3&D
1641767,Ben Sheppard,2024-25,3&D
203200,J. Holiday,2022-23,3&D
1891,J. Terry,2016-17,3&D
202692,Alec Burks,2024-25,3&D
203200,J. Holiday,2023-24,3&D
203493,R. Bullock,2021-22,3&D
1631216,Caleb Houstan,2023-24,3&D
203503,T. Snell,2021-22,3&D
1629723,John Konchar,2024-25,3&D
1891,J. Terry,2017-18,3&D
1641767,Ben Sheppard,2023-24,3&D
1628390,T. Ferguson,2017-18,3&D
201980,D. Green,2020-21,3&D
1629312,Haywood Highsmith,2021-22,3&D
1630182,Josh Green,2024-25,3&D
2738,A. Iguodala,2020-21,3&D
1630649,Stanley Umude,2023-24,3&D
1630695,Micah Potter,2023-24,3&D
203090,M. Harkless,2021-22,3&D
1628778,P. Watson,2021-22,3&D
1641787,Tosan Evbuomwan,2023-24,3&D
1630171,Isaac Okoro,2024-25,3&D
1626172,Kevon Looney,2022-23,Slashing Wing
203458,Alex Len,2024-25,Slashing Wing
1629674,Neemias Queta,2024-25,Slashing Wing
202687,Bismack Biyombo,2020-21,Slashing Wing
1626172,Kevon Looney,2018-19,Slashing Wing
1630579,Jericho Sims,2022-23,Slashing Wing
1626257,S. Mejri,2015-16,Slashing Wing
203991,Clint Capela,2019-20,Slashing Wing
1629057,Robert Williams III,2021-22,Slashing Wing
1626172,Kevon Looney,2021-22,Slashing Wing
203486,Mason Plumlee,2024-25,Slashing Wing
1631117,Walker Kessler,2023-24,Slashing Wing
101106,A. Bogut,2015-16,Slashing Wing
1628436,Luke Kornet,2022-23,Slashing Wing
203089,J. Henson,2017-18,Slashing Wing
1629637,Jaxson Hayes,2024-25,Slashing Wing
1629650,M. Brown,2024-25,Slashing Wing
1630168,Onyeka Okongwu,2021-22,Slashing Wing
203458,Alex Len,2020-21,Slashing Wing
203939,Dwight Powell,2024-25,Slashing Wing
203648,T. Antetokounmpo,2021-22,Slashing Wing
1631218,Trayce Jackson-Davis,2023-24,Slashing Wing
1628392,Isaiah Hartenstein,2024-25,Slashing Wing
1626172,Kevon Looney,2020-21,Slashing Wing
1627745,D. Jones,2018-19,Slashing Wing
1630579,Jericho Sims,2024-25,Slashing Wing
1641726,Dereck Lively II,2024-25,Slashing Wing
202687,Bismack Biyombo,2015-16,Slashing Wing
1628436,Luke Kornet,2024-25,Slashing Wing
201580,J. McGee,2019-20,Slashing Wing
1628386,Jarrett Allen,2023-24,Slashing Wing
202687,Bismack Biyombo,2017-18,Slashing Wing
1628436,Luke Kornet,2023-24,Slashing Wing
1629020,Jarred Vanderbilt,2021-22,Slashing Wing
202687,Bismack Biyombo,2019-20,Slashing Wing
1629234,Drew Eubanks,2024-25,Slashing Wing
201599,DeAndre Jordan,2020-21,Slashing Wing
1642345,Oso Ighodaro,2024-25,Slashing Wing
1629234,Drew Eubanks,2023-24,Slashing Wing
1628386,Jarrett Allen,2022-23,Slashing Wing
1629011,Mitchell Robinson,2021-22,Athletic Finisher
1629011,Mitchell Robinson,2019-20,Athletic Finisher
2199,T. Chandler,2017-18,Athletic Finisher
1629011,Mitchell Robinson,2023-24,Athletic Finisher
1629011,Mitchell Robinson,2018-19,Athletic Finisher
1629011,Mitchell Robinson,2022-23,Athletic Finisher
1629011,Mitchell Robinson,2020-21,Athletic Finisher
1629011,Mitchell Robinson,2024-25,Athletic Finisher
2199,T. Chandler,2016-17,Athletic Finisher
201599,DeAndre Jordan,2016-17,Athletic Finisher
201599,DeAndre Jordan,2019-20,Athletic Finisher
201599,DeAndre Jordan,2020-21,Athletic Finisher
201599,DeAndre Jordan,2021-22,Athletic Finisher
2199,T. Chandler,2018-19,Athletic Finisher
201599,DeAndre Jordan,2015-16,Athletic Finisher
203497,Rudy Gobert,2016-17,Athletic Finisher
201599,DeAndre Jordan,2017-18,Athletic Finisher
203939,Dwight Powell,2022-23,Athletic Finisher
201599,DeAndre Jordan,2022-23,Athletic Finisher
1626257,S. Mejri,2015-16,Athletic Finisher
203497,Rudy Gobert,2019-20,Athletic Finisher
1629637,Jaxson Hayes,2019-20,Athletic Finisher
1629655,Daniel Gafford,2019-20,Athletic Finisher
1630579,Jericho Sims,2021-22,Athletic Finisher
202334,E. Davis,2020-21,Athletic Finisher
1628436,Luke Kornet,2023-24,Athletic Finisher
203497,Rudy Gobert,2018-19,Athletic Finisher
203497,Rudy Gobert,2020-21,Athletic Finisher
203497,Rudy Gobert,2021-22,Athletic Finisher
1630579,Jericho Sims,2022-23,Athletic Finisher
203497,Rudy Gobert,2015-16,Athletic Finisher
201599,DeAndre Jordan,2018-19,Athletic Finisher
203991,Clint Capela,2017-18,Athletic Finisher
202334,E. Davis,2018-19,Athletic Finisher
201599,DeAndre Jordan,2023-24,Athletic Finisher
1630579,Jericho Sims,2023-24,Athletic Finisher
1629057,Robert Williams III,2021-22,Athletic Finisher
1628962,U. Azubuike,2021-22,Athletic Finisher
203991,Clint Capela,2016-17,Athletic Finisher
203991,Clint Capela,2015-16,Athletic Finisher
201578,M. Speights,2017-18,Stretch Big
203488,M. Muscala,2019-20,Stretch Big
201188,M. Gasol,2020-21,Stretch Big
1628436,Luke Kornet,2018-19,Stretch Big
201567,Kevin Love,2023-24,Stretch Big
201567,Kevin Love,2020-21,Stretch Big
1628436,Luke Kornet,2017-18,Stretch Big
201572,Brook Lopez,2018-19,Stretch Big
201567,Kevin Love,2022-23,Stretch Big
203488,M. Muscala,2018-19,Stretch Big
203488,M. Muscala,2021-22,Stretch Big
201567,Kevin Love,2021-22,Stretch Big
101112,C. Frye,2015-16,Stretch Big
201188,M. Gasol,2019-20,Stretch Big
203488,M. Muscala,2022-23,Stretch Big
1629731,Dean Wade,2020-21,Stretch Big
1628436,Luke Kornet,2020-21,Stretch Big
203210,J. Green,2019-20,Stretch Big
101112,C. Frye,2017-18,Stretch Big
101112,C. Frye,2016-17,Stretch Big
1628964,M. Bamba,2022-23,Stretch Big
203488,M. Muscala,2020-21,Stretch Big
1641730,Noah Clowney,2024-25,Stretch Big
1641871,Duop Reath,2024-25,Stretch Big
203482,Kelly Olynyk,2019-20,Stretch Big
201572,Brook Lopez,2023-24,Stretch Big
1641705,Victor Wembanyama,2024-25,Stretch Big
1628374,Lauri Markkanen,2024-25,Stretch Big
201567,Kevin Love,2019-20,Stretch Big
1630643,Jay Huff,2024-25,Stretch Big
1629021,Moritz Wagner,2021-22,Stretch Big
1628374,Lauri Markkanen,2019-20,Stretch Big
1629021,Moritz Wagner,2018-19,Stretch Big
203967,Dario Šarić,2023-24,Stretch Big
201567,Kevin Love,2024-25,Stretch Big
1630188,Jalen Smith,2024-25,Stretch Big
1626163,F. Kaminsky,2018-19,Stretch Big
201578,M. Speights,2016-17,Stretch Big
1629731,Dean Wade,2023-24,Stretch Big
201572,Brook Lopez,2024-25,Stretch Big
1641705,Victor Wembanyama,2023-24,Rim Protector
1629011,Mitchell Robinson,2018-19,Rim Protector
1641705,Victor Wembanyama,2024-25,Rim Protector
203089,J. Henson,2015-16,Rim Protector
1626167,Myles Turner,2020-21,Rim Protector
1629048,Goga Bitadze,2020-21,Rim Protector
1628991,Jaren Jackson Jr.,2022-23,Rim Protector
1631117,Walker Kessler,2023-24,Rim Protector
1631117,Walker Kessler,2022-23,Rim Protector
202687,Bismack Biyombo,2022-23,Rim Protector
1626257,S. Mejri,2015-16,Rim Protector
1628964,M. Bamba,2019-20,Rim Protector
203954,Joel Embiid,2016-17,Rim Protector
1626167,Myles Turner,2021-22,Rim Protector
1629655,Daniel Gafford,2020-21,Rim Protector
1629057,Robert Williams III,2024-25,Rim Protector
1626167,Myles Turner,2018-19,Rim Protector
1628436,Luke Kornet,2020-21,Rim Protector
1629057,Robert Williams III,2020-21,Rim Protector
1626257,S. Mejri,2017-18,Rim Protector
1629655,Daniel Gafford,2019-20,Rim Protector
203457,N. Noel,2020-21,Rim Protector
203457,N. Noel,2018-19,Rim Protector
201572,Brook Lopez,2019-20,Rim Protector
1629057,Robert Williams III,2019-20,Rim Protector
201580,J. McGee,2018-19,Rim Protector
203497,Rudy Gobert,2020-21,Rim Protector
1629655,Daniel Gafford,2023-24,Rim Protector
1629011,Mitchell Robinson,2019-20,Rim Protector
1628964,M. Bamba,2018-19,Rim Protector
1628991,Jaren Jackson Jr.,2021-22,Rim Protector
1629655,Daniel Gafford,2024-25,Rim Protector
1629651,Nic Claxton,2022-23,Rim Protector
201580,J. McGee,2019-20,Rim Protector
1642270,Donovan Clingan,2024-25,Rim Protector
1629646,Charles Bassey,2023-24,Rim Protector
1627751,Jakob Poeltl,2019-20,Rim Protector
1631096,Chet Holmgren,2024-25,Rim Protector
1628964,M. Bamba,2023-24,Rim Protector
203457,N. Noel,2019-20,Rim Protector
200746,L. Aldridge,2017-18,Post Scorer
200746,L. Aldridge,2018-19,Post Scorer
201577,R. Lopez,2021-22,Post Scorer
201188,M. Gasol,2015-16,Post Scorer
203954,Joel Embiid,2017-18,Post Scorer
2564,B. Diaw,2015-16,Post Scorer
203954,Joel Embiid,2019-20,Post Scorer
203954,Joel Embiid,2020-21,Post Scorer
2730,D. Howard,2017-18,Post Scorer
202328,G. Monroe,2015-16,Post Scorer
200746,L. Aldridge,2015-16,Post Scorer
200746,L. Aldridge,2016-17,Post Scorer
200746,L. Aldridge,2019-20,Post Scorer
203954,Joel Embiid,2016-17,Post Scorer
201577,R. Lopez,2018-19,Post Scorer
1626246,B. Marjanovic,2019-20,Post Scorer
201188,M. Gasol,2016-17,Post Scorer
203994,Jusuf Nurkić,2015-16,Post Scorer
203994,Jusuf Nurkić,2016-17,Post Scorer
2403,Nene,2015-16,Post Scorer
202328,G. Monroe,2016-17,Post Scorer
2730,D. Howard,2015-16,Post Scorer
1626157,Karl-Anthony Towns,2018-19,Post Scorer
202683,E. Kanter,2016-17,Post Scorer
202328,G. Monroe,2017-18,Post Scorer
203954,Joel Embiid,2018-19,Post Scorer
201572,Brook Lopez,2015-16,Post Scorer
202683,E. Kanter,2018-19,Post Scorer
2546,C. Anthony,2019-20,Post Scorer
203458,Alex Len,2015-16,Post Scorer
1717,D. Nowitzki,2015-16,Post Scorer
201577,R. Lopez,2015-16,Post Scorer
1629028,Deandre Ayton,2018-19,Post Scorer
202685,Jonas Valančiūnas,2022-23,Post Scorer
202696,Nikola Vučević,2015-16,Post Scorer
201143,Al Horford,2016-17,Post Scorer
201577,R. Lopez,2020-21,Post Scorer
2730,D. Howard,2016-17,Post Scorer
203954,Joel Embiid,2021-22,Post Scorer
203994,Jusuf Nurkić,2022-23,Post Scorer
203999,Nikola Jokić,2022-23,All Around Big
203999,Nikola Jokić,2024-25,All Around Big
203999,Nikola Jokić,2023-24,All Around Big
203999,Nikola Jokić,2020-21,All Around Big
203999,Nikola Jokić,2021-22,All Around Big
203999,Nikola Jokić,2018-19,All Around Big
1627734,Domantas Sabonis,2023-24,All Around Big
203999,Nikola Jokić,2019-20,All Around Big
1627734,Domantas Sabonis,2022-23,All Around Big
203482,Kelly Olynyk,2023-24,All Around Big
203999,Nikola Jokić,2017-18,All Around Big
1627734,Domantas Sabonis,2020-21,All Around Big
203999,Nikola Jokić,2016-17,All Around Big
1627734,Domantas Sabonis,2024-25,All Around Big
203954,Joel Embiid,2023-24,All Around Big
202328,G. Monroe,2021-22,All Around Big
1628389,Bam Adebayo,2020-21,All Around Big
203944,Julius Randle,2020-21,All Around Big
1630578,Alperen Sengun,2024-25,All Around Big
201143,Al Horford,2016-17,All Around Big
1630578,Alperen Sengun,2023-24,All Around Big
1628389,Bam Adebayo,2019-20,All Around Big
1627734,Domantas Sabonis,2021-22,All Around Big
201143,Al Horford,2017-18,All Around Big
203954,Joel Embiid,2024-25,All Around Big
202326,D. Cousins,2017-18,All Around Big
1626157,Karl-Anthony Towns,2022-23,All Around Big
203486,Mason Plumlee,2019-20,All Around Big
203994,Jusuf Nurkić,2023-24,All Around Big
203944,Julius Randle,2021-22,All Around Big
203944,Julius Randle,2024-25,All Around Big
203482,Kelly Olynyk,2021-22,All Around Big
1627734,Domantas Sabonis,2019-20,All Around Big
2200,P. Gasol,2018-19,All Around Big
203482,Kelly Olynyk,2024-25,All Around Big
201143,Al Horford,2018-19,All Around Big
201188,M. Gasol,2018-19,All Around Big
203994,Jusuf Nurkić,2020-21,All Around Big
203486,Mason Plumlee,2018-19,All Around Big
203944,Julius Randle,2023-24,All Around Big
202391,J. Lin,2017-18,Glue Guy
1626196,J. Richardson,2024-25,Glue Guy
201975,J. Meeks,2018-19,Glue Guy
1626187,M. Frazier,2019-20,Glue Guy
203263,J. Nunnally,2018-19,Glue Guy
1629623,L. Wigginton,2021-22,Glue Guy
1627362,B. Weber,2017-18,Glue Guy
1628411,W. Iwundu,2021-22,Glue Guy
1627362,B. Weber,2016-17,Glue Guy
203933,T. Warren,2020-21,Glue Guy
1627820,T. Wallace,2021-22,Glue Guy
1626166,Cameron Payne,2018-19,Glue Guy
201571,D. Augustin,2021-22,Glue Guy
1631232,Keion Brooks Jr.,2024-25,Glue Guy
1630163,LaMelo Ball,2023-24,Glue Guy
202688,B. Knight,2019-20,Glue Guy
201943,B. Jennings,2017-18,Glue Guy
201565,D. Rose,2023-24,Glue Guy
1629109,G. Clark,2021-22,Glue Guy
2747,J. Smith,2018-19,Glue Guy
1626188,Q. Cook,2016-17,Glue Guy
1630548,Johnny Juzang,2022-23,Glue Guy
1641723,Kobe Bufkin,2023-24,Glue Guy
1631107,Nikola Jović,2022-23,Glue Guy
1630185,N. Mannion,2020-21,Glue Guy
1630696,Dru Smith,2023-24,Glue Guy
1627362,B. Weber,2015-16,Glue Guy
1629633,J. Culver,2022-23,Glue Guy
1628537,J. Morris,2017-18,Glue Guy
1629660,Ty Jerome,2019-20,Glue Guy
1630572,Sandro Mamukelashvili,2021-22,Glue Guy
1627780,Gary Payton II,2017-18,Glue Guy
1630237,A. Lamb,2020-21,Glue Guy
1630182,Josh Green,2020-21,Glue Guy
1628972,T. Brown Jr.,2023-24,Glue Guy
1628778,P. Watson,2021-22,Glue Guy
203546,I. Clark,2018-19,Glue Guy
202954,B. Wanamaker,2021-22,Glue Guy
202362,L. Stephenson,2021-22,Glue Guy
1631466,Nate Williams,2022-23,Glue Guy
