PLAYER_ID,PLAYER,SEASON,Height,Weight,Position,Draft Year
1630529,Herbert Jones,2024-25,6-7,206,Forward,2021
1630529,Herbert Jones,2023-24,6-7,206,Forward,2021
1630529,Herbert Jones,2021-22,6-7,206,Forward,2021
1630529,Herbert Jones,2022-23,6-7,206,Forward,2021
203468,CJ McCollum,2018-19,6-3,190,Guard,2013
203468,CJ McCollum,2024-25,6-3,190,Guard,2013
203468,CJ McCollum,2016-17,6-3,190,Guard,2013
203468,CJ McCollum,2020-21,6-3,190,Guard,2013
203468,CJ McCollum,2021-22,6-3,190,Guard,2013
203468,CJ McCollum,2017-18,6-3,190,Guard,2013
203468,CJ McCollum,2022-23,6-3,190,Guard,2013
203468,CJ McCollum,2023-24,6-3,190,Guard,2013
203468,CJ McCollum,2015-16,6-3,190,Guard,2013
203468,CJ McCollum,2019-20,6-3,190,Guard,2013
203901,Elfrid Payton,2018-19,6-3,195,Guard,2014
203901,Elfrid Payton,2024-25,6-3,195,Guard,2014
203901,Elfrid Payton,2016-17,6-3,195,Guard,2014
203901,Elfrid Payton,2020-21,6-3,195,Guard,2014
203901,Elfrid Payton,2021-22,6-3,195,Guard,2014
203901,Elfrid Payton,2017-18,6-3,195,Guard,2014
203901,Elfrid Payton,2015-16,6-3,195,Guard,2014
203901,Elfrid Payton,2019-20,6-3,195,Guard,2014
1627749,Dejounte Murray,2024-25,6-4,180,Guard,2016
1627749,Dejounte Murray,2016-17,6-4,180,Guard,2016
1627749,Dejounte Murray,2020-21,6-4,180,Guard,2016
1627749,Dejounte Murray,2021-22,6-4,180,Guard,2016
1627749,Dejounte Murray,2017-18,6-4,180,Guard,2016
1627749,Dejounte Murray,2022-23,6-4,180,Guard,2016
1627749,Dejounte Murray,2023-24,6-4,180,Guard,2016
1627749,Dejounte Murray,2019-20,6-4,180,Guard,2016
1631288,Jamal Cain,2024-25,6-7,191,Forward,Undrafted
1631288,Jamal Cain,2023-24,6-7,191,Forward,Undrafted
1631288,Jamal Cain,2022-23,6-7,191,Forward,Undrafted
1630527,Brandon Boston,2024-25,6-6,188,Guard,2021
1630527,Brandon Boston,2023-24,6-6,188,Guard,2021
1630527,Brandon Boston,2021-22,6-6,188,Guard,2021
1630527,Brandon Boston,2022-23,6-6,188,Guard,2021
1641810,Antonio Reeves,2024-25,6-5,205,Guard,2024
203482,Kelly Olynyk,2018-19,7-0,240,Forward-Center,2013
203482,Kelly Olynyk,2024-25,7-0,240,Forward-Center,2013
203482,Kelly Olynyk,2016-17,7-0,240,Forward-Center,2013
203482,Kelly Olynyk,2020-21,7-0,240,Forward-Center,2013
203482,Kelly Olynyk,2021-22,7-0,240,Forward-Center,2013
203482,Kelly Olynyk,2017-18,7-0,240,Forward-Center,2013
203482,Kelly Olynyk,2022-23,7-0,240,Forward-Center,2013
203482,Kelly Olynyk,2023-24,7-0,240,Forward-Center,2013
203482,Kelly Olynyk,2015-16,7-0,240,Forward-Center,2013
203482,Kelly Olynyk,2019-20,7-0,240,Forward-Center,2013
1630631,Jose Alvarado,2024-25,6-0,179,Guard,Undrafted
1630631,Jose Alvarado,2023-24,6-0,179,Guard,Undrafted
1630631,Jose Alvarado,2021-22,6-0,179,Guard,Undrafted
1630631,Jose Alvarado,2022-23,6-0,179,Guard,Undrafted
1631255,Karlo Matković,2024-25,6-10,231,Forward-Center,2022
1642274,Yves Missi,2024-25,6-11,235,Center,2024
1631311,Lester Quinones,2024-25,6-4,208,Guard,Undrafted
1631311,Lester Quinones,2023-24,6-4,208,Guard,Undrafted
1631311,Lester Quinones,2022-23,6-4,208,Guard,Undrafted
1641722,Jordan Hawkins,2024-25,6-5,190,Guard,2023
1641722,Jordan Hawkins,2023-24,6-5,190,Guard,2023
