star_player,player1_archetype,player2_archetype,player3_archetype,player4_archetype,offensive_rating,defensive_rating,net_rating,min_sum
Anthony Edwards,Glue guy,Movement Shooter,Rim Runner/Protector,Stretch Big,116.60909090909091,110.75454545454545,5.854545454545454,11.0
Anthony Edwards,Movement Shooter,Movement Shooter,Shot Creator Guard,Stretch Big,127.30000000000001,110.60000000000001,16.636363636363637,11.0
Anthony Edwards,All Around Big,All Around Big,All Around Guard,Pure Point Guard,117.64000000000001,50.78,66.92,10.0
Anthony Edwards,All Around Big,All Around Guard,Glue guy,Post Scorer,113.85999999999999,94.52,19.380000000000003,10.0
Anthony Edwards,All Around Big,Movement Shooter,Movement Shooter,Shot Creator Guard,121.7,104.5,17.2,10.0
Anthony Edwards,All Around Guard,Glue guy,Post Scorer,Rim Runner/Protector,95.03,76.01,19.02,10.0
Anthony Edwards,Movement Shooter,Shot Creator Guard,Shot Creator Guard,Stretch Big,133.3,113.0,20.3,10.0
Anthony Edwards,Movement Shooter,Shot Creator Guard,Shot Creator Guard,Wing Shot Creator,85.7,100.0,-14.3,10.0
Anthony Edwards,3&D,All Around Big,All Around Big,Shot Creator Guard,119.0,115.0,4.0,9.0
Anthony Edwards,All Around Big,All Around Guard,All Around Guard,Rim Runner/Protector,70.11111111111111,56.68888888888888,13.455555555555556,9.0
Anthony Edwards,All Around Guard,Glue guy,Movement Shooter,Rim Runner/Protector,162.97777777777776,62.977777777777774,100.0,9.0
Anthony Edwards,All Around Guard,Glue guy,Rim Runner/Protector,Shot Creator Guard,140.9,65.2,75.7,9.0
Anthony Edwards,All Around Guard,Movement Shooter,Movement Shooter,Pure Point Guard,108.73333333333332,128.73333333333332,-20.0,9.0
Anthony Edwards,Glue guy,Movement Shooter,Post Scorer,Wing Shot Creator,68.74444444444445,100.98888888888888,-32.18888888888889,9.0
Anthony Edwards,Movement Shooter,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,106.3,116.69999999999999,-10.4,9.0
Anthony Edwards,3&D,3&D,All Around Guard,Wing Shot Creator,112.5,62.5,50.0,8.0
Anthony Edwards,3&D,All Around Guard,Movement Shooter,Rim Runner/Protector,94.5625,112.5,-17.9375,8.0
Anthony Edwards,Glue guy,Post Scorer,Rim Runner/Protector,Wing Shot Creator,102.5,93.44999999999999,9.049999999999997,8.0
Anthony Edwards,Glue guy,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,149.9875,116.975,33.05,8.0
Anthony Edwards,Movement Shooter,Pure Point Guard,Pure Point Guard,Wing Shot Creator,116.7,82.4,34.3,8.0
Anthony Edwards,3&D,Movement Shooter,Rim Runner/Protector,Stretch Big,160.0,140.0,20.0,7.0
Anthony Edwards,All Around Big,All Around Guard,Glue guy,Pure Point Guard,73.3,137.5,-64.2,7.0
Anthony Edwards,All Around Big,Glue guy,Pure Point Guard,Rim Runner/Protector,73.3,178.6,-105.2,7.0
Anthony Edwards,All Around Big,Glue guy,Wing Shot Creator,Wing Shot Creator,151.21428571428572,161.71428571428572,-10.5,7.0
Anthony Edwards,Movement Shooter,Pure Point Guard,Stretch Big,Wing Shot Creator,71.42857142857143,142.85714285714286,-71.42857142857143,7.0
Anthony Edwards,Pure Point Guard,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,94.1,118.8,-24.6,7.0
Anthony Edwards,3&D,Movement Shooter,Movement Shooter,Stretch Big,127.3,127.3,0.0,6.0
Anthony Edwards,3&D,Pure Point Guard,Rim Runner/Protector,Stretch Big,133.3,133.3,0.0,6.0
Anthony Edwards,3&D,Rim Runner/Protector,Wing Shot Creator,Wing Shot Creator,75.56666666666666,105.03333333333335,-29.5,6.0
Anthony Edwards,All Around Guard,All Around Guard,Post Scorer,Rim Runner/Protector,142.9,50.0,92.90000000000002,6.0
Anthony Edwards,All Around Guard,All Around Guard,Post Scorer,Wing Shot Creator,110.0,121.45,-11.449999999999998,6.0
Anthony Edwards,Movement Shooter,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,71.4,120.0,-48.6,6.0
Anthony Edwards,3&D,3&D,Shot Creator Guard,Stretch Big,118.2,36.4,81.8,5.0
Anthony Edwards,3&D,Glue guy,Rim Runner/Protector,Wing Shot Creator,110.0,81.8,28.2,5.0
Anthony Edwards,3&D,Movement Shooter,Movement Shooter,Wing Shot Creator,75.0,163.6,-88.6,5.0
Anthony Edwards,All Around Big,All Around Big,All Around Guard,Wing Shot Creator,91.7,75.0,16.7,5.0
Anthony Edwards,All Around Big,Glue guy,Glue guy,Post Scorer,154.5,136.4,18.2,5.0
Anthony Edwards,All Around Big,Glue guy,Rim Runner/Protector,Wing Shot Creator,55.6,66.7,-11.1,5.0
Anthony Edwards,All Around Big,Movement Shooter,Pure Point Guard,Pure Point Guard,108.3,136.4,-28.0,5.0
Anthony Edwards,Glue guy,Movement Shooter,Post Scorer,Rim Runner/Protector,57.1,100.0,-42.9,5.0
Anthony Edwards,3&D,3&D,All Around Guard,Rim Runner/Protector,128.35,198.55,-70.25,4.0
Anthony Edwards,All Around Big,All Around Big,All Around Guard,Movement Shooter,40.0,100.0,-60.0,4.0
Anthony Edwards,All Around Big,All Around Big,Movement Shooter,Shot Creator Guard,112.5,128.6,-16.1,4.0
Anthony Edwards,All Around Big,All Around Big,Shot Creator Guard,Wing Shot Creator,55.6,175.0,-119.4,4.0
Anthony Edwards,All Around Big,All Around Guard,All Around Guard,All Around Guard,63.6,120.0,-56.4,4.0
Anthony Edwards,All Around Big,Pure Point Guard,Pure Point Guard,Rim Runner/Protector,100.0,122.2,-22.2,4.0
Anthony Edwards,All Around Guard,All Around Guard,Pure Point Guard,Rim Runner/Protector,150.0,137.5,12.5,4.0
Anthony Edwards,All Around Guard,Glue guy,Post Scorer,Wing Shot Creator,50.0,125.0,-75.0,4.0
Anthony Edwards,All Around Guard,Pure Point Guard,Rim Runner/Protector,Shot Creator Guard,137.5,87.5,50.0,4.0
Anthony Edwards,Glue guy,Post Scorer,Wing Shot Creator,Wing Shot Creator,75.0,125.0,-50.0,4.0
Anthony Edwards,Movement Shooter,Movement Shooter,Rim Runner/Protector,Stretch Big,60.0,90.0,-30.0,4.0
Anthony Edwards,Movement Shooter,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,45.5,110.0,-64.5,4.0
Anthony Edwards,Movement Shooter,Pure Point Guard,Pure Point Guard,Rim Runner/Protector,66.7,150.0,-83.3,4.0
Anthony Edwards,Movement Shooter,Shot Creator Guard,Stretch Big,Wing Shot Creator,40.0,118.2,-78.2,4.0
Anthony Edwards,Rim Runner/Protector,Shot Creator Guard,Shot Creator Guard,Stretch Big,77.8,87.5,-9.7,4.0
Anthony Edwards,3&D,3&D,Movement Shooter,Rim Runner/Protector,80.0,33.3,46.70000000000001,3.0
Anthony Edwards,3&D,3&D,Rim Runner/Protector,Shot Creator Guard,57.1,150.0,-92.90000000000002,3.0
Anthony Edwards,3&D,All Around Guard,All Around Guard,Movement Shooter,66.7,85.7,-19.0,3.0
Anthony Edwards,All Around Big,All Around Guard,Movement Shooter,Movement Shooter,62.5,185.69999999999996,-123.2,3.0
Anthony Edwards,All Around Guard,All Around Guard,Pure Point Guard,Wing Shot Creator,140.0,80.0,60.0,3.0
Anthony Edwards,All Around Guard,Movement Shooter,Movement Shooter,Rim Runner/Protector,85.7,128.6,-42.9,3.0
Anthony Edwards,3&D,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,66.7,100.0,-33.3,2.0
Anthony Edwards,All Around Guard,All Around Guard,Movement Shooter,Post Scorer,160.0,33.3,126.7,2.0
Anthony Edwards,3&D,3&D,Wing Shot Creator,Wing Shot Creator,100.0,100.0,0.0,1.0
Devin Booker,3&D,Post Scorer,Pure Point Guard,Wing Shot Creator,113.86433566433567,108.35286713286713,5.523776223776224,1430.0
Devin Booker,3&D,Movement Shooter,Post Scorer,Shot Creator Guard,117.44454148471617,110.9113537117904,6.545633187772926,916.0
Devin Booker,3&D,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,111.52681047765793,112.79337442218797,-1.2750385208012327,649.0
Devin Booker,Movement Shooter,Post Scorer,Wing Shot Creator,Wing Shot Creator,124.67596638655462,113.91428571428571,10.767899159663864,595.0
Devin Booker,Rim Runner/Protector,Shot Creator Guard,Stretch Big,Wing Shot Creator,106.27745901639345,109.48524590163935,-3.200614754098361,488.0
Devin Booker,Pure Point Guard,Shot Creator Guard,Stretch Big,Wing Shot Creator,116.81162227602906,111.23317191283294,5.6351089588377725,413.0
