PLAYER_ID,SEASON,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,PTS_PER_PAINT_TOUCH,touches_per_min,time_poss_per_min,front_ct_touches_per_min,paint_touch_share,post_touch_share,elbow_touch_share,DRIVE_FG_PCT,drives_per_min,drive_pts_per_drive,drive_ast_rate,drive_tov_rate,drive_pf_rate,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,dist_miles_per_48min,dist_miles_off_per_48min,dist_miles_def_per_48min,AST_TO_PASS_PCT,passes_per_min,ast_per_pass,secondary_ast_rate,potential_ast_rate,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,catch_fga_per_min,catch_fg3a_per_min,PULL_UP_FG_PCT,PULL_UP_FG3_PCT,PULL_UP_EFG_PCT,pullup_fga_per_min
2730,2015-16,1.75,0.53,0.26,0.89,1.61,0.05,0.86,0.22,0.11,0.05,0.25,0.01,0.18,0.06,0.06,0.06,3.87,4.13,3.63,3.14,1.645,1.495,0.04,1.18,0.04,0.01,0.08,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
203939,2015-16,1.37,0.31,0.22,0.9,1.86,0.04,0.92,0.14,0.0,0.06,0.19,0.05,0.23,0.04,0.09,0.04,4.51,4.85,4.15,3.667,2.0,1.667,0.03,1.41,0.03,0.0,0.06,0.31,0.12,0.32,0.11,0.01,0.33,0.0,0.33,0.01
2548,2015-16,4.1,3.46,0.32,0.82,1.93,0.13,1.3,0.05,0.05,0.05,0.47,0.42,0.53,0.12,0.05,0.07,4.06,4.34,3.75,3.305,1.731,1.416,0.13,1.16,0.13,0.01,0.25,0.44,0.29,0.47,0.04,0.01,0.35,0.07,0.35,0.21
202734,2015-16,3.81,3.5,0.22,0.75,1.57,0.1,0.84,0.02,0.01,0.01,0.46,0.2,0.5,0.1,0.06,0.02,4.42,4.77,4.08,3.589,1.794,1.57,0.07,1.15,0.07,0.02,0.15,0.45,0.46,0.66,0.07,0.07,0.44,0.4,0.47,0.09
202334,2015-16,1.62,0.43,0.2,0.77,1.55,0.04,0.7,0.18,0.02,0.12,0.54,0.02,0.77,0.12,0.0,0.15,4.2,4.44,3.95,3.231,1.846,1.615,0.04,1.24,0.04,0.01,0.09,0.67,0.0,0.67,0.0,0.0,0.33,0.0,0.33,0.0
203901,2015-16,4.87,4.74,0.15,0.78,2.49,0.2,0.94,0.02,0.0,0.01,0.44,0.36,0.42,0.13,0.07,0.06,4.6,4.88,4.33,3.742,1.953,1.79,0.11,1.97,0.11,0.01,0.22,0.31,0.35,0.44,0.05,0.04,0.33,0.27,0.34,0.07
1626144,2015-16,4.89,4.61,0.17,0.67,2.42,0.2,0.9,0.01,0.01,0.01,0.34,0.38,0.33,0.11,0.07,0.06,4.43,4.98,3.87,3.474,2.053,1.579,0.1,1.77,0.1,0.01,0.21,0.34,0.33,0.48,0.08,0.07,0.35,0.32,0.39,0.18
202683,2015-16,1.57,0.34,0.29,1.01,2.07,0.05,0.9,0.16,0.08,0.05,0.6,0.02,0.93,0.0,0.07,0.07,4.32,4.75,3.89,3.429,1.829,1.6,0.01,1.49,0.01,0.0,0.04,0.49,0.48,0.53,0.07,0.01,0.42,0.0,0.42,0.01
202339,2015-16,4.49,4.04,0.24,0.63,2.54,0.19,0.99,0.02,0.0,0.01,0.45,0.51,0.39,0.11,0.09,0.06,4.29,4.67,3.93,3.368,1.825,1.544,0.1,1.81,0.1,0.02,0.23,0.37,0.34,0.49,0.07,0.05,0.46,0.43,0.53,0.2
201569,2015-16,2.5,1.68,0.35,0.68,1.33,0.06,1.05,0.01,0.0,0.03,0.46,0.18,0.56,0.08,0.08,0.04,4.2,4.67,3.75,3.356,1.751,1.605,0.1,0.82,0.1,0.01,0.2,0.36,0.36,0.54,0.17,0.16,0.45,0.43,0.54,0.09
