GROUP_SET,GROUP_ID,GROUP_NAME,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,E_DEF_RATING,DEF_RATING,E_NET_RATING,NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,EFG_PCT,TS_PCT,E_PACE,PACE,PACE_PER40,POSS,PIE,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,OFF_RATING_RANK,DEF_RATING_RANK,NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,PACE_RANK,PIE_RANK,SUM_TIME_PLAYED,TEAM_ID,SEASON
Lineups,200782-201935-202695-1626181-1631217,P. Tucker - J. Harden - K. Leonard - N. Powell - M. Diabate,1,0,1,0.0,5.0,101.1,110.0,130.0,144.4,-28.9,-34.4,0.6,3.0,16.7,0.625,0.5,0.583,0.1,0.385,0.396,94.3,85.82,71.52,10,0.385,216,351,196,351,133,178,450,424,153,24,165,41,251,108,334,286,308,360,238,15940,1610612746,2023-24
Lineups,201935-201980-202699-1630178-1630194,J. Harden - D. Green - T. Harris - T. Maxey - P. Reed,1,0,1,0.0,5.0,128.8,133.3,160.9,150.0,-32.2,-16.7,0.5,0.67,15.4,0.667,1.0,0.833,0.333,0.643,0.721,98.7,100.59,83.82,9,0.396,269,505,315,505,171,124,569,475,238,207,238,37,1,54,605,141,124,322,315,13600,1610612755,2021-22
Lineups,200794-201935-204038-1628971-1629651,P. Millsap - J. Harden - L. Galloway - B. Brown - N. Claxton,2,2,0,1.0,5.0,73.5,72.7,49.2,50.0,24.3,22.7,0.667,1.0,14.3,0.2,0.5,0.412,0.182,0.375,0.45,107.6,107.18,89.32,11,2.75,154,70,1,1,195,522,359,234,216,203,360,320,477,469,767,480,481,356,12,15450,1610612751,2021-22
Lineups,201142-201599-202681-203915-203925,K. Durant - D. Jordan - K. Irving - S. Dinwiddie - J. Harris,3,2,1,0.667,43.0,118.0,121.5,86.5,86.2,31.5,35.3,0.698,2.31,22.2,0.273,0.78,0.563,0.14,0.616,0.622,105.0,103.61,86.34,93,0.668,87,84,448,478,8,225,407,177,204,86,174,204,266,206,600,229,262,341,195,129950,1610612751,2020-21
Lineups,201935-203460-204020-1629013-1629651,J. Harden - A. Roberson - T. Johnson - L. Shamet - N. Claxton,3,3,0,1.0,16.0,123.5,125.0,157.1,158.1,-33.6,-33.1,0.643,2.25,20.5,0.231,0.583,0.4,0.125,0.593,0.637,93.0,92.1,76.75,32,0.365,87,35,1,1,37,203,728,633,247,87,204,240,411,419,579,248,243,526,392,49250,1610612751,2020-21
Lineups,201142-201933-1628455-1628971-1629013,K. Durant - B. Griffin - A. James - B. Brown - L. Shamet,3,3,0,1.0,14.0,150.0,140.0,108.8,110.0,41.2,30.0,0.889,8.0,33.3,0.2,0.65,0.5,0.067,0.75,0.75,98.1,100.93,84.11,30,0.698,87,35,1,1,51,151,552,190,128,3,27,254,375,250,501,122,154,390,180,42800,1610612751,2020-21
Lineups,201142-201933-202681-1628455-1628971,K. Durant - B. Griffin - K. Irving - A. James - B. Brown,3,1,2,0.333,10.0,170.8,165.0,145.8,140.0,25.0,25.0,0.6,0.0,31.0,0.0,0.667,0.429,0.0,0.889,0.854,94.2,97.79,81.49,20,0.638,87,198,742,605,82,84,683,203,255,280,60,326,337,393,1,83,97,446,216,29450,1610612751,2020-21
Lineups,201142-201145-201933-203925-1628455,K. Durant - J. Green - B. Griffin - J. Harris - A. James,3,1,2,0.333,10.0,111.3,104.8,113.9,115.8,-2.5,-11.0,0.875,0.0,24.1,0.091,0.667,0.391,0.0,0.474,0.53,96.0,98.26,81.88,21,0.529,87,198,742,605,85,288,577,583,130,280,153,319,337,437,1,373,348,436,283,29310,1610612751,2020-21
Lineups,201142-201933-203925-1628455-1628971,K. Durant - B. Griffin - J. Harris - A. James - B. Brown,1,1,0,1.0,8.0,176.1,178.6,122.5,121.4,53.6,57.1,0.5,0.0,23.8,0.5,0.444,0.462,0.0,0.75,0.772,87.3,87.08,72.57,14,0.73,292,198,1,1,119,58,600,119,299,280,155,73,466,362,1,122,139,568,158,23150,1610612751,2020-21
Lineups,201142-202681-203915-203925-1628386,K. Durant - K. Irving - S. Dinwiddie - J. Harris - J. Allen,3,2,1,0.667,8.0,163.3,161.1,83.9,78.9,79.4,82.2,0.6,0.0,23.1,0.25,0.545,0.421,0.0,0.694,0.734,101.0,104.88,87.4,18,0.788,87,84,448,478,107,87,380,78,255,280,160,210,423,407,1,173,171,321,127,25400,1610612751,2020-21
