,PLAYER_ID,PLAYER,Height,Weight,Position,Draft Year
195,1626179,Terry Rozier,6-1,190,Guard,2015
196,1631107,Nikola Jović,6-10,205,Forward,2022
197,1642276,Kel'el Ware,7-0,230,Center,2024
198,1630528,Josh Christopher,6-4,215,Guard,2021
199,1641796,Pelle Larsson,6-5,215,Guard,2024
200,1631170,Jaime Jaquez Jr.,6-6,225,Guard,2023
201,1630696,Dru Smith,6-2,203,Guard,Undrafted
202,1628389,Bam Adebayo,6-9,255,Center-Forward,2017
203,1629639,Tyler Herro,6-5,195,Guard,2019
204,1642352,Keshad Johnson,6-6,225,Forward,Undrafted
205,202692,Alec Burks,6-5,214,Guard,2011
206,203937,Kyle Anderson,6-8,230,Forward-Guard,2014
207,203952,Andrew Wiggins,6-6,197,Forward,2014
208,1629312,Haywood Highsmith,6-5,220,Forward,2018
209,201567,Kevin Love,6-10,251,Forward-Center,2008
210,1630558,Davion Mitchell,6-0,202,Guard,2021
211,1629130,Duncan Robinson,6-7,215,Forward,Undrafted
212,203081,Damian Lillard,6-2,200,Guard,2012
213,1630579,Jericho Sims,6-10,250,Center,2021
214,1629645,Kevin Porter Jr.,6-5,203,Guard-Forward,2019
215,1629018,Gary Trent Jr.,6-5,204,Guard,2018
216,1641753,Chris Livingston,6-6,220,Forward,2023
217,1626171,Bobby Portis,6-9,250,Forward,2015
218,201572,Brook Lopez,7-1,282,Center,2008
219,1627752,Taurean Prince,6-6,218,Forward,2016
220,1631157,Ryan Rollins,6-3,180,Guard,2022
221,1631123,Jamaree Bouyea,6-2,180,Guard,Undrafted
222,1630649,Stanley Umude,6-6,210,Guard,Undrafted
223,1628398,Kyle Kuzma,6-8,221,Forward,2017
224,1631260,AJ Green,6-4,190,Guard,Undrafted
225,1641890,Tyler Smith,6-9,224,Forward,2024
226,1626192,Pat Connaughton,6-5,209,Guard,2015
227,203507,Giannis Antetokounmpo,6-11,243,Forward,2013
228,1631250,Pete Nance,6-9,225,Forward,Undrafted
229,1641748,Andre Jackson Jr.,6-6,209,Guard,2023
230,1628978,Donte DiVincenzo,6-4,203,Guard,2018
231,1630545,Terrence Shannon Jr.,6-6,215,Guard-Forward,2024
232,1630183,Jaden McDaniels,6-9,185,Forward,2020
233,1642265,Rob Dillingham,6-2,175,Guard,2024
234,1630162,Anthony Edwards,6-4,225,Guard,2020
235,204060,Joe Ingles,6-8,220,Forward-Guard,Undrafted
236,1631169,Josh Minott,6-8,205,Forward,2022
237,1629638,Nickeil Alexander-Walker,6-5,205,Guard,2019
238,201144,Mike Conley,6-1,175,Guard,2007
239,1629675,Naz Reid,6-9,264,Center-Forward,Undrafted
240,1641803,Tristen Newton,6-5,190,Guard,2024
241,1642399,Jesse Edwards,7-0,236,Center,Undrafted
242,1641740,Jaylen Clark,6-5,205,Guard,2023
243,203497,Rudy Gobert,7-1,258,Center,2013
244,203944,Julius Randle,6-9,250,Forward-Center,2014
245,1631159,Leonard Miller,6-10,220,Forward,2023
246,1630568,Luka Garza,6-10,243,Center,2021
247,1630538,Bones Hyland,6-2,169,Guard,2021
248,1641727,Dariq Whitehead,6-6,220,Guard-Forward,2023
249,1626156,D'Angelo Russell,6-3,193,Guard,2015
250,1629661,Cameron Johnson,6-8,210,Forward,2019
251,1641736,Reece Beekman,6-3,190,Guard,Undrafted
252,1630533,Ziaire Williams,6-9,185,Forward,2021
253,1630570,Trendon Watford,6-8,237,Guard-Forward,Undrafted
254,1630623,Tyson Etienne,6-0,200,Guard,Undrafted
255,1641787,Tosan Evbuomwan,6-8,217,Forward,Undrafted
256,1631213,Tyrese Martin,6-6,215,Forward,2022
257,1629001,De'Anthony Melton,6-2,200,Guard,2018
258,1630549,Day'Ron Sharpe,6-10,265,Center,2021
259,1641730,Noah Clowney,6-10,210,Forward-Center,2023
260,1630592,Jalen Wilson,6-6,220,Forward,2023
261,1630560,Cam Thomas,6-3,210,Guard,2021
262,1631166,Drew Timme,6-10,235,Forward,Undrafted
263,1641721,Maxwell Lewis,6-7,215,Forward,2023
264,1629651,Nic Claxton,6-11,215,Center,2019
265,1630553,Keon Johnson,6-5,185,Guard,2021
266,200782,P.J. Tucker,6-5,245,Forward,2006
267,1626153,Delon Wright,6-5,185,Guard,2015
268,1630699,MarJon Beauchamp,6-7,199,Forward,2022
269,1626166,Cameron Payne,6-3,183,Guard,2015
270,1630540,Miles McBride,6-2,195,Guard,2021
271,1628404,Josh Hart,6-5,215,Guard,2017
272,1642359,Pacôme Dadiet,6-9,210,Forward,2024
273,1630173,Precious Achiuwa,6-8,243,Forward,2020
274,1628384,OG Anunoby,6-7,240,Forward-Guard,2017
275,1641755,Kevin McCullar Jr.,6-6,210,Guard,2024
276,1628973,Jalen Brunson,6-2,190,Guard,2018
277,1642278,Tyler Kolek,6-2,195,Guard,2024
278,1629011,Mitchell Robinson,7-0,240,Center-Forward,2018
279,1628969,Mikal Bridges,6-6,209,Guard-Forward,2018
280,1641817,Anton Watson,6-8,225,Forward,2024
281,1626157,Karl-Anthony Towns,7-0,248,Center-Forward,2015
282,1629013,Landry Shamet,6-5,190,Guard,2018
283,1630574,Ariel Hukporti,7-0,246,Center,2024
284,1641710,Anthony Black,6-7,200,Guard,2023
285,1628371,Jonathan Isaac,6-10,230,Forward,2017
286,1631216,Caleb Houstan,6-8,205,Guard,2022
287,1630217,Desmond Bane,6-6,215,Guard,2020
288,1630591,Jalen Suggs,6-5,205,Guard,2021
289,1631094,Paolo Banchero,6-10,250,Forward,2022
290,1630644,Mac McClung,6-2,185,Guard,Undrafted
291,202709,Cory Joseph,6-2,200,Guard,2011
292,1630243,Trevelin Queen,6-5,190,Guard,Undrafted
293,1641724,Jett Howard,6-8,215,Guard,2023
294,203914,Gary Harris,6-4,210,Guard,2014
295,1629021,Moritz Wagner,6-11,245,Forward-Center,2018
296,1630532,Franz Wagner,6-10,220,Forward,2021
297,1641783,Tristan da Silva,6-8,217,Forward,2024
298,1628976,Wendell Carter Jr.,6-10,270,Center-Forward,2018
299,1629048,Goga Bitadze,6-11,250,Center-Forward,2019
300,1630679,Ethan Thompson,6-5,195,Guard,Undrafted
301,1630169,Tyrese Haliburton,6-5,185,Guard,2020
302,1631097,Bennedict Mathurin,6-5,210,Guard-Forward,2022
303,1630167,Obi Toppin,6-9,220,Forward,2020
304,1629614,Andrew Nembhard,6-4,191,Guard-Forward,2022
305,1628418,Thomas Bryant,6-9,248,Center-Forward,2017
306,1641716,Jarace Walker,6-7,235,Forward,2023
307,1642402,Enrique Freeman,6-9,220,Forward,2024
308,204456,T.J. McConnell,6-1,190,Guard,2015
309,1642484,RayJ Dennis,6-1,180,Guard,Undrafted
310,1642277,Johnny Furphy,6-8,200,Guard,2024
311,1628396,Tony Bradley,6-10,248,Center-Forward,2017
