star_player,LINEUP_ARCHETYPE,player1_archetype,player2_archetype,player3_archetype,player4_archetype,pct_pts_3pt,pct_pts_paint,pct_pts_fb,pct_pts_2pt_mr,pct_ast_fgm,pct_uast_fgm,efg_pct,ts_pct,min_sum
Anthony Edwards,All Around Big-All Around Guard-Pure Point Guard-Wing Shot Creator,All Around Big,All Around Guard,Pure Point Guard,Wing Shot Creator,0.39128787878787885,0.41834848484848486,0.11081818181818182,0.011272727272727273,0.4718181818181818,0.5281818181818182,0.527530303030303,0.5656818181818182,66.0
Anthony Edwards,3&D-Pure Point Guard-Rim Runner/Protector-Wing Shot Creator,3&D,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,0.3686875,0.46165625,0.12759374999999998,0.03984375,0.67421875,0.32578125,0.55078125,0.5740625,64.0
Anthony Edwards,All Around Big-Movement Shooter-Rim Runner/Protector-Wing Shot Creator,All Around Big,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,0.389,0.489,0.107,0.046,0.558,0.442,0.54,0.55,64.0
Anthony Edwards,3&D-All Around Guard-Wing Shot Creator-Wing Shot Creator,3&D,All Around Guard,Wing Shot Creator,Wing Shot Creator,0.5739821428571429,0.30805357142857137,0.06933928571428571,0.031875,0.6187142857142857,0.3812857142857143,0.5714821428571428,0.5895714285714286,56.0
Anthony Edwards,All Around Guard-Movement Shooter-Post Scorer-Rim Runner/Protector,All Around Guard,Movement Shooter,Post Scorer,Rim Runner/Protector,0.2598928571428571,0.4816071428571429,0.08399999999999999,0.07257142857142858,0.6281428571428572,0.3718571428571429,0.656,0.6816785714285715,56.0
Anthony Edwards,Movement Shooter-Pure Point Guard-Shot Creator Guard-Wing Shot Creator,Movement Shooter,Pure Point Guard,Shot Creator Guard,Wing Shot Creator,0.3964285714285714,0.32117857142857137,0.13039285714285712,0.10657142857142857,0.6678571428571428,0.33214285714285724,0.5779642857142857,0.6137499999999999,56.0
Anthony Edwards,All Around Big-Movement Shooter-Shot Creator Guard-Wing Shot Creator,All Around Big,Movement Shooter,Shot Creator Guard,Wing Shot Creator,0.37229629629629635,0.4981851851851851,0.15218518518518517,0.0,0.7103703703703703,0.2896296296296296,0.5985185185185186,0.6230370370370372,54.0
Anthony Edwards,Movement Shooter-Post Scorer-Rim Runner/Protector-Wing Shot Creator,Movement Shooter,Post Scorer,Rim Runner/Protector,Wing Shot Creator,0.2937777777777778,0.3953333333333333,0.05814814814814814,0.09370370370370369,0.544037037037037,0.45596296296296296,0.5266666666666667,0.5760740740740741,54.0
Anthony Edwards,3&D-Movement Shooter-Pure Point Guard-Stretch Big,3&D,Movement Shooter,Pure Point Guard,Stretch Big,0.31703773584905665,0.47862264150943395,0.1350566037735849,0.030566037735849056,0.5911509433962264,0.4088490566037736,0.45198113207547175,0.496811320754717,53.0
Anthony Edwards,3&D-Movement Shooter-Shot Creator Guard-Stretch Big,3&D,Movement Shooter,Shot Creator Guard,Stretch Big,0.49616981132075466,0.40199999999999997,0.10628301886792453,0.016188679245283017,0.5655471698113207,0.43445283018867925,0.5021698113207548,0.515943396226415,53.0
