PLAYER_ID,SEASON,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
101108,2019-20,1.0,4.86,9.89,0.491,0.458,0.033
101108,2020-21,1.0,5.0,9.93,0.504,0.455,0.049
101108,2021-22,1.0,4.63,9.75,0.475,0.457,0.018
101108,2022-23,1.0,5.22,11.1,0.47,0.471,-0.001
101108,2023-24,1.0,4.53,9.36,0.484,0.46,0.024
101108,2024-25,1.0,4.94,10.17,0.486,0.462,0.024
101112,2015-16,1.0,3.38,7.1,0.476,0.461,0.016
101112,2016-17,1.0,4.85,10.0,0.485,0.468,0.017
101112,2017-18,1.0,3.43,7.16,0.479,0.461,0.019
101112,2018-19,1.0,3.44,6.09,0.565,0.481,0.085
101114,2015-16,1.0,4.37,10.15,0.43,0.436,-0.006
101114,2016-17,1.0,3.65,8.19,0.445,0.441,0.004
101123,2015-16,1.0,3.04,7.35,0.414,0.436,-0.022
101123,2016-17,1.0,1.95,4.21,0.464,0.442,0.022
101123,2017-18,1.0,3.55,7.38,0.481,0.445,0.036
101123,2018-19,1.0,3.25,6.88,0.473,0.444,0.029
101123,2021-22,0.0,0.0,0.0,0.0,0.0,0.0
101135,2015-16,1.0,3.6,7.69,0.468,0.466,0.002
101135,2016-17,1.0,3.67,8.33,0.44,0.46,-0.02
101139,2015-16,1.0,3.06,7.06,0.434,0.443,-0.01
101139,2016-17,1.0,2.6,6.09,0.427,0.44,-0.014
101139,2017-18,1.0,2.2,4.99,0.441,0.445,-0.004
101139,2018-19,1.0,1.71,4.37,0.39,0.448,-0.058
101139,2019-20,1.0,2.8,5.8,0.483,0.462,0.021
101139,2021-22,1.0,1.0,1.0,1.0,0.326,0.674
101141,2015-16,1.0,4.69,9.23,0.508,0.457,0.051
101141,2016-17,1.0,4.11,9.29,0.442,0.459,-0.017
101141,2017-18,1.0,4.8,10.39,0.462,0.463,-0.002
101141,2018-19,1.0,4.21,8.97,0.469,0.472,-0.003
101141,2019-20,1.0,2.58,6.47,0.399,0.453,-0.054
101141,2020-21,1.0,2.31,5.31,0.435,0.46,-0.025
101150,2015-16,1.0,3.49,8.49,0.411,0.435,-0.024
101150,2016-17,1.0,3.01,6.57,0.459,0.441,0.017
101150,2017-18,1.0,4.23,9.53,0.444,0.447,-0.003
101150,2018-19,1.0,3.65,7.71,0.474,0.441,0.033
101150,2019-20,1.0,4.26,9.43,0.452,0.44,0.012
101150,2020-21,1.0,2.58,5.61,0.459,0.442,0.018
101150,2021-22,1.0,2.0,4.64,0.431,0.448,-0.016
101162,2015-16,1.0,7.01,15.09,0.465,0.474,-0.009
101162,2016-17,1.0,7.3,14.3,0.511,0.481,0.03
101162,2017-18,1.0,6.49,13.56,0.478,0.481,-0.003
101162,2018-19,1.0,4.47,9.57,0.467,0.49,-0.023
101179,2015-16,1.0,2.39,5.52,0.433,0.43,0.003
101179,2016-17,1.0,1.4,3.0,0.467,0.429,0.038
101181,2015-16,1.0,4.53,9.78,0.463,0.44,0.023
101181,2016-17,1.0,2.49,4.92,0.505,0.451,0.054
101181,2017-18,1.0,3.31,6.88,0.48,0.438,0.042
101181,2018-19,1.0,2.35,4.98,0.472,0.442,0.03
101236,2015-16,1.0,4.0,9.5,0.421,0.476,-0.054
200746,2015-16,1.0,5.65,12.72,0.444,0.462,-0.018
200746,2016-17,1.0,5.14,12.58,0.409,0.467,-0.059
200746,2017-18,1.0,7.16,16.29,0.439,0.471,-0.032
200746,2018-19,1.0,7.94,17.44,0.455,0.478,-0.023
200746,2019-20,1.0,7.75,17.42,0.445,0.483,-0.038
200746,2020-21,1.0,6.88,14.69,0.469,0.477,-0.008
200746,2021-22,1.0,5.4,12.0,0.45,0.479,-0.028
200751,2015-16,1.0,2.51,5.98,0.421,0.435,-0.014
200751,2016-17,1.0,2.46,5.55,0.444,0.446,-0.002
200752,2015-16,1.0,5.43,12.14,0.447,0.452,-0.004
200752,2016-17,1.0,4.83,10.9,0.443,0.459,-0.016
200752,2017-18,1.0,3.65,8.09,0.451,0.454,-0.003
200752,2018-19,1.0,3.84,8.86,0.434,0.46,-0.027
200752,2019-20,1.0,4.35,9.5,0.458,0.457,0.001
200752,2020-21,1.0,3.84,8.87,0.433,0.463,-0.03
200752,2021-22,1.0,3.36,7.4,0.455,0.463,-0.009
200752,2022-23,1.0,2.59,5.7,0.455,0.478,-0.023
200755,2015-16,1.0,3.35,8.69,0.386,0.439,-0.054
200755,2016-17,1.0,3.95,8.17,0.484,0.453,0.031
200755,2017-18,1.0,3.68,8.35,0.441,0.452,-0.011
200755,2018-19,1.0,4.0,8.4,0.476,0.445,0.031
200755,2019-20,1.0,3.65,7.05,0.518,0.453,0.064
200755,2020-21,1.0,2.28,4.6,0.495,0.452,0.043
200757,2015-16,1.0,3.13,7.73,0.405,0.444,-0.039
200757,2016-17,1.0,4.48,9.79,0.458,0.459,-0.001
200757,2017-18,1.0,3.76,8.22,0.457,0.463,-0.006
200757,2018-19,1.0,1.79,4.26,0.42,0.453,-0.033
200757,2019-20,1.0,2.38,4.93,0.482,0.456,0.026
200765,2015-16,1.0,4.61,9.99,0.461,0.439,0.023
200765,2016-17,1.0,3.77,7.86,0.48,0.45,0.03
200765,2017-18,1.0,4.06,8.48,0.479,0.449,0.03
200765,2018-19,1.0,5.46,10.98,0.497,0.454,0.043
200765,2019-20,1.0,2.92,6.19,0.471,0.461,0.01
200765,2020-21,1.0,2.93,6.23,0.471,0.453,0.018
200765,2021-22,1.0,3.05,6.76,0.451,0.451,0.001
200768,2015-16,1.0,4.7,10.49,0.448,0.44,0.008
200768,2016-17,1.0,4.92,10.47,0.469,0.445,0.025
200768,2017-18,1.0,5.27,11.85,0.445,0.449,-0.004
200768,2018-19,1.0,5.2,12.38,0.42,0.452,-0.032
200768,2019-20,1.0,5.71,13.16,0.434,0.453,-0.02
200768,2020-21,1.0,6.07,13.17,0.46,0.458,0.002
200768,2021-22,1.0,6.02,12.02,0.501,0.461,0.04
200768,2022-23,1.0,5.22,10.75,0.486,0.469,0.017
200768,2023-24,1.0,5.62,11.42,0.492,0.464,0.028
200768,2024-25,1.0,3.49,6.94,0.502,0.461,0.041
200779,2015-16,1.0,1.0,2.5,0.4,0.428,-0.028
200779,2016-17,1.0,0.5,1.0,0.5,0.487,0.013
200782,2015-16,1.0,4.06,9.54,0.426,0.445,-0.019
200782,2016-17,1.0,3.81,8.46,0.451,0.455,-0.005
200782,2017-18,1.0,4.99,10.23,0.487,0.461,0.027
200782,2018-19,1.0,5.49,12.48,0.44,0.465,-0.025
200782,2019-20,1.0,6.73,14.82,0.454,0.464,-0.01
200782,2020-21,1.0,4.96,10.06,0.493,0.475,0.019
200782,2021-22,1.0,5.15,11.85,0.435,0.46,-0.025
200782,2022-23,1.0,4.59,9.81,0.468,0.486,-0.017
200782,2023-24,1.0,3.03,6.65,0.456,0.48,-0.024
200782,2024-25,1.0,4.67,7.33,0.636,0.437,0.199
200794,2015-16,1.0,6.26,13.6,0.46,0.463,-0.003
200794,2016-17,1.0,7.54,15.94,0.473,0.46,0.013
200794,2017-18,1.0,6.74,14.84,0.454,0.472,-0.018
200794,2018-19,1.0,5.83,12.53,0.465,0.469,-0.003
200794,2019-20,1.0,5.04,11.22,0.449,0.471,-0.021
200794,2020-21,1.0,4.65,9.47,0.491,0.474,0.018
200794,2021-22,1.0,3.24,7.12,0.455,0.467,-0.012
200826,2015-16,1.0,2.96,6.59,0.449,0.433,0.016
