PLAYER_ID,SEASON,TEAM_ID,"('0 Contesting Rebounders', 'DREB')","('0 Contesting Rebounders', 'OREB')","('0 Contesting Rebounders', 'REB')","('0 Contesting Rebounders', 'REB_FREQ')","('0-3 Feet', 'DREB')","('0-3 Feet', 'OREB')","('0-3 Feet', 'REB')","('0-3 Feet', 'REB_FREQ')","('1 Contesting Rebounder', 'DREB')","('1 Contesting Rebounder', 'OREB')","('1 Contesting Rebounder', 'REB')","('1 Contesting Rebounder', 'REB_FREQ')","('10+ Feet', 'DREB')","('10+ Feet', 'OREB')","('10+ Feet', 'REB')","('10+ Feet', 'REB_FREQ')","('2+ Contesting Rebounders', 'DREB')","('2+ Contesting Rebounders', 'OREB')","('2+ Contesting Rebounders', 'REB')","('2+ Contesting Rebounders', 'REB_FREQ')","('3-6 Feet', 'DREB')","('3-6 Feet', 'OREB')","('3-6 Feet', 'REB')","('3-6 Feet', 'REB_FREQ')","('6-10 Feet', 'DREB')","('6-10 Feet', 'OREB')","('6-10 Feet', 'REB')","('6-10 Feet', 'REB_FREQ')","('OVERALL', 'DREB')","('OVERALL', 'OREB')","('OVERALL', 'REB')","('OVERALL', 'REB_CONTESTED')","('OVERALL', 'REB_UNCONTESTED')"
1631117,2024-25,1610612762.0,290.0,45.0,335.0,0.478,137.0,120.0,257.0,0.367,141.0,162.0,303.0,0.432,18.0,10.0,28.0,0.04,6.0,57.0,63.0,0.09,225.0,94.0,319.0,0.455,57.0,40.0,97.0,0.138,437,264,701,366,335
1631119,2022-23,1610612760.0,136.0,21.0,157.0,0.651,50.0,10.0,60.0,0.249,57.0,15.0,72.0,0.299,8.0,15.0,23.0,0.095,4.0,8.0,12.0,0.05,103.0,11.0,114.0,0.473,36.0,8.0,44.0,0.183,197,44,241,84,157
1631119,2023-24,1610612760.0,130.0,16.0,146.0,0.638,54.0,12.0,66.0,0.288,59.0,14.0,73.0,0.319,4.0,8.0,12.0,0.052,5.0,5.0,10.0,0.044,93.0,10.0,103.0,0.45,43.0,5.0,48.0,0.21,194,35,229,83,146
1631119,2024-25,1610612760.0,136.0,21.0,157.0,0.609,48.0,10.0,58.0,0.225,72.0,22.0,94.0,0.364,15.0,19.0,34.0,0.132,2.0,5.0,7.0,0.027,115.0,13.0,128.0,0.496,32.0,6.0,38.0,0.147,210,48,258,101,157
1631120,2022-23,1610612738.0,7.0,2.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.333,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.556,0.0,1.0,1.0,0.111,7,2,9,0,9
1631120,2023-24,1610612738.0,6.0,2.0,8.0,0.8,1.0,0.0,1.0,0.1,2.0,0.0,2.0,0.2,1.0,0.0,1.0,0.1,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.5,1.0,2.0,3.0,0.3,8,2,10,2,8
1631120,2024-25,1610612738.0,10.0,2.0,12.0,0.923,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.077,3.0,1.0,4.0,0.308,0.0,0.0,0.0,0.0,5.0,1.0,6.0,0.462,3.0,0.0,3.0,0.231,11,2,13,1,12
1631121,2022-23,1610612766.0,60.0,10.0,70.0,0.753,6.0,3.0,9.0,0.097,13.0,9.0,22.0,0.237,25.0,7.0,32.0,0.344,0.0,1.0,1.0,0.011,12.0,9.0,21.0,0.226,30.0,1.0,31.0,0.333,73,20,93,23,70
1631121,2023-24,1610612766.0,71.0,10.0,81.0,0.794,7.0,4.0,11.0,0.108,13.0,4.0,17.0,0.167,26.0,8.0,34.0,0.333,1.0,3.0,4.0,0.039,24.0,5.0,29.0,0.284,28.0,0.0,28.0,0.275,85,17,102,21,81
1631121,2024-25,1610612757.0,1.0,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.667,1,2,3,0,3
