,,,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Corner 3,Corner 3,,,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,Corner 3,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,Corner 3
PLAYER_ID,PLAYER,SEASON,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,TOTAL_FGM,TOTAL_FGA,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FREQ,FREQ,FREQ,FREQ,FREQ,FREQ,FREQ
1628398,Kyle Kuzma,2019-20,118,162,55,138,32,96,15,33,19,32,52,205,34,65,325.0,731.0,0.73,0.4,0.33,0.45,0.59,0.25,0.52,0.22,0.19,0.13,0.05,0.04,0.28,0.09
1628398,Kyle Kuzma,2020-21,138,205,33,89,27,83,21,63,21,56,95,260,42,119,377.0,875.0,0.67,0.37,0.33,0.33,0.38,0.37,0.35,0.23,0.1,0.09,0.07,0.06,0.3,0.14
1628398,Kyle Kuzma,2021-22,152,212,98,227,46,123,17,52,13,37,97,284,30,89,453.0,1024.0,0.72,0.43,0.37,0.33,0.35,0.34,0.34,0.21,0.22,0.12,0.05,0.04,0.28,0.09
1628398,Kyle Kuzma,2022-23,196,283,117,265,39,113,31,76,19,47,108,353,50,123,560.0,1260.0,0.69,0.44,0.35,0.41,0.4,0.31,0.41,0.22,0.21,0.09,0.06,0.04,0.28,0.1
1628398,Kyle Kuzma,2023-24,256,335,140,351,61,177,24,66,20,43,107,340,44,109,652.0,1421.0,0.76,0.4,0.34,0.36,0.47,0.31,0.4,0.24,0.25,0.12,0.05,0.03,0.24,0.08
1628398,Kyle Kuzma,2024-25,165,236,81,213,28,85,21,46,8,39,66,225,29,85,398.0,929.0,0.7,0.38,0.33,0.46,0.21,0.29,0.34,0.25,0.23,0.09,0.05,0.04,0.24,0.09
1628400,S. Ojeleye,2017-18,17,38,4,11,4,14,8,26,15,36,17,63,23,62,88.0,250.0,0.45,0.36,0.29,0.31,0.42,0.27,0.37,0.15,0.04,0.06,0.1,0.14,0.25,0.25
1628400,S. Ojeleye,2018-19,32,44,4,11,3,14,8,17,4,17,16,54,12,34,79.0,191.0,0.73,0.36,0.21,0.47,0.24,0.3,0.35,0.23,0.06,0.07,0.09,0.09,0.28,0.18
1628400,S. Ojeleye,2019-20,18,36,8,19,6,14,13,24,12,32,23,71,25,56,105.0,252.0,0.5,0.42,0.43,0.54,0.38,0.32,0.45,0.14,0.08,0.06,0.1,0.13,0.28,0.22
1628400,S. Ojeleye,2020-21,20,30,8,18,3,15,14,37,13,39,31,82,27,76,116.0,297.0,0.67,0.44,0.2,0.38,0.33,0.38,0.36,0.1,0.06,0.05,0.12,0.13,0.28,0.26
1628400,S. Ojeleye,2021-22,7,12,6,30,2,7,1,9,3,10,11,30,4,19,34.0,117.0,0.58,0.2,0.29,0.11,0.3,0.37,0.21,0.1,0.26,0.06,0.08,0.09,0.26,0.16
1628401,Derrick White,2017-18,3,7,3,7,2,6,0,0,1,1,7,12,1,1,17.0,34.0,0.43,0.43,0.33,0.0,1.0,0.58,1.0,0.21,0.21,0.18,0.0,0.03,0.35,0.03
1628401,Derrick White,2018-19,101,167,59,125,52,109,1,6,8,18,39,118,9,24,269.0,567.0,0.6,0.47,0.48,0.17,0.44,0.33,0.38,0.29,0.22,0.19,0.01,0.03,0.21,0.04
1628401,Derrick White,2019-20,97,165,55,107,22,64,6,22,7,13,66,178,13,35,266.0,584.0,0.59,0.51,0.34,0.27,0.54,0.37,0.37,0.28,0.18,0.11,0.04,0.02,0.3,0.06
1628401,Derrick White,2020-21,53,87,37,88,12,35,10,20,11,24,63,199,21,44,207.0,497.0,0.61,0.42,0.34,0.5,0.46,0.32,0.48,0.18,0.18,0.07,0.04,0.05,0.4,0.09
1628401,Derrick White,2021-22,100,171,96,192,26,70,7,25,15,50,93,291,22,75,359.0,874.0,0.58,0.5,0.37,0.28,0.3,0.32,0.29,0.2,0.22,0.08,0.03,0.06,0.33,0.09
1628401,Derrick White,2022-23,107,163,79,164,15,40,21,53,24,62,104,276,45,115,395.0,873.0,0.66,0.48,0.38,0.4,0.39,0.38,0.39,0.19,0.19,0.05,0.06,0.07,0.32,0.13
1628401,Derrick White,2023-24,101,137,72,162,18,45,17,45,27,66,152,384,44,111,431.0,950.0,0.74,0.44,0.4,0.38,0.41,0.4,0.4,0.14,0.17,0.05,0.05,0.07,0.4,0.12
1628401,Derrick White,2024-25,74,103,62,110,23,55,29,63,24,60,212,568,53,123,477.0,1082.0,0.72,0.56,0.42,0.46,0.4,0.37,0.43,0.1,0.1,0.05,0.06,0.06,0.52,0.11
1628404,Josh Hart,2017-18,85,131,4,18,9,29,14,25,6,15,58,157,20,40,196.0,415.0,0.65,0.22,0.31,0.56,0.4,0.37,0.5,0.32,0.04,0.07,0.06,0.04,0.38,0.1
1628404,Josh Hart,2018-19,84,132,7,36,6,22,13,36,13,34,66,204,26,70,215.0,534.0,0.64,0.19,0.27,0.36,0.38,0.32,0.37,0.25,0.07,0.04,0.07,0.06,0.38,0.13
1628404,Josh Hart,2019-20,89,133,12,26,3,19,19,51,24,50,78,253,43,101,268.0,633.0,0.67,0.46,0.16,0.37,0.48,0.31,0.43,0.21,0.04,0.03,0.08,0.08,0.4,0.16
1628404,Josh Hart,2020-21,69,109,10,20,9,22,6,32,14,37,42,123,20,69,170.0,412.0,0.63,0.5,0.41,0.19,0.38,0.34,0.29,0.26,0.05,0.05,0.08,0.09,0.3,0.17
1628404,Josh Hart,2021-22,168,246,27,67,19,43,13,21,8,16,52,176,21,37,308.0,606.0,0.68,0.4,0.44,0.62,0.5,0.3,0.57,0.41,0.11,0.07,0.03,0.03,0.29,0.06
1628404,Josh Hart,2022-23,180,251,27,75,7,30,16,39,13,33,32,92,29,72,304.0,592.0,0.72,0.36,0.23,0.41,0.39,0.35,0.4,0.42,0.13,0.05,0.07,0.06,0.16,0.12
1628404,Josh Hart,2023-24,157,244,47,129,11,48,8,26,14,39,58,192,22,65,317.0,743.0,0.64,0.36,0.23,0.31,0.36,0.3,0.34,0.33,0.17,0.06,0.03,0.05,0.26,0.09
1628404,Josh Hart,2024-25,246,348,50,117,24,52,10,35,10,31,64,186,20,66,424.0,835.0,0.71,0.43,0.46,0.29,0.32,0.34,0.3,0.42,0.14,0.06,0.04,0.04,0.22,0.08
1628405,J. Motley,2017-18,25,37,10,22,4,10,0,1,0,0,1,4,0,1,40.0,75.0,0.68,0.45,0.4,0.0,0.0,0.25,0.0,0.49,0.29,0.13,0.01,0.0,0.05,0.01
1628405,J. Motley,2018-19,31,45,8,24,0,1,0,1,0,0,0,2,0,1,39.0,74.0,0.69,0.33,0.0,0.0,0.0,0.0,0.0,0.61,0.32,0.01,0.01,0.0,0.03,0.01
1628405,J. Motley,2019-20,10,11,0,3,0,0,0,0,0,0,1,1,0,0,11.0,15.0,0.91,0.0,0.0,0.0,0.0,1.0,0.0,0.73,0.2,0.0,0.0,0.0,0.07,0.0
1628408,P. Dozier,2017-18,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
1628408,P. Dozier,2018-19,6,7,0,4,0,2,0,0,1,2,1,6,1,2,9.0,23.0,0.86,0.0,0.0,0.0,0.5,0.17,0.5,0.3,0.17,0.09,0.0,0.09,0.26,0.09
1628408,P. Dozier,2019-20,23,36,9,35,16,37,0,2,1,5,16,39,1,7,66.0,161.0,0.64,0.26,0.43,0.0,0.2,0.41,0.14,0.22,0.22,0.23,0.01,0.03,0.24,0.04
1628408,P. Dozier,2020-21,69,108,17,55,15,43,9,24,6,26,32,97,15,50,163.0,403.0,0.64,0.31,0.35,0.38,0.23,0.33,0.3,0.27,0.14,0.11,0.06,0.06,0.24,0.12
1628408,P. Dozier,2021-22,11,16,3,16,7,19,2,8,2,7,11,33,4,15,40.0,114.0,0.69,0.19,0.37,0.25,0.29,0.33,0.27,0.14,0.14,0.17,0.07,0.06,0.29,0.13
1628408,P. Dozier,2022-23,4,6,0,2,4,9,1,3,0,3,1,9,1,6,11.0,38.0,0.67,0.0,0.44,0.33,0.0,0.11,0.17,0.16,0.05,0.24,0.08,0.08,0.24,0.16
1628408,P. Dozier,2024-25,0,0,0,0,0,0,1,1,0,0,1,2,1,1,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.25,0.0,0.5,0.25
1628409,A. Peters,2017-18,6,10,2,2,2,4,4,11,1,7,13,40,5,18,33.0,92.0,0.6,1.0,0.5,0.36,0.14,0.32,0.28,0.11,0.02,0.04,0.12,0.08,0.43,0.2
1628410,E. Sumner,2017-18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1628410,E. Sumner,2018-19,10,26,3,4,2,7,2,6,1,2,4,19,3,8,25.0,72.0,0.38,0.75,0.29,0.33,0.5,0.21,0.38,0.36,0.06,0.1,0.08,0.03,0.26,0.11
1628410,E. Sumner,2019-20,42,63,3,20,2,6,3,8,7,8,4,36,10,16,71.0,157.0,0.67,0.15,0.33,0.38,0.88,0.11,0.62,0.4,0.13,0.04,0.05,0.05,0.23,0.1
1628410,E. Sumner,2020-21,98,146,12,36,3,12,8,22,7,14,20,51,15,36,163.0,317.0,0.67,0.33,0.25,0.36,0.5,0.39,0.42,0.46,0.11,0.04,0.07,0.04,0.16,0.11
1628410,E. Sumner,2022-23,69,115,14,50,10,17,10,28,6,18,15,41,16,46,140.0,315.0,0.6,0.28,0.59,0.36,0.33,0.37,0.35,0.37,0.16,0.05,0.09,0.06,0.13,0.15
1628411,W. Iwundu,2017-18,58,94,12,34,14,44,4,19,2,6,3,21,6,25,99.0,243.0,0.62,0.35,0.32,0.21,0.33,0.14,0.24,0.39,0.14,0.18,0.08,0.02,0.09,0.1
1628411,W. Iwundu,2018-19,55,104,10,35,20,57,4,18,5,13,19,46,9,31,122.0,304.0,0.53,0.29,0.35,0.22,0.38,0.41,0.29,0.34,0.12,0.19,0.06,0.04,0.15,0.1
1628411,W. Iwundu,2019-20,40,64,14,37,15,50,6,15,4,12,18,55,10,27,107.0,260.0,0.62,0.38,0.3,0.4,0.33,0.33,0.37,0.25,0.14,0.19,0.06,0.05,0.21,0.1
1628411,W. Iwundu,2020-21,25,48,3,9,1,4,2,7,1,14,2,20,3,21,37.0,123.0,0.52,0.33,0.25,0.29,0.07,0.1,0.14,0.39,0.07,0.03,0.06,0.11,0.16,0.17
1628411,W. Iwundu,2021-22,2,7,0,0,3,6,1,1,0,2,2,2,1,3,9.0,21.0,0.29,0.0,0.5,1.0,0.0,1.0,0.33,0.33,0.0,0.29,0.05,0.1,0.1,0.14
1628411,W. Iwundu,2022-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628413,J. Bolden,2018-19,43,55,2,6,1,6,2,10,6,13,26,72,8,23,88.0,185.0,0.78,0.33,0.17,0.2,0.46,0.36,0.35,0.3,0.03,0.03,0.05,0.07,0.39,0.12
1628413,J. Bolden,2019-20,4,7,0,0,0,0,0,1,0,1,0,2,0,2,4.0,13.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.08,0.08,0.15,0.15
1628414,S. Thornwell,2017-18,48,105,19,45,10,23,7,16,5,13,11,29,12,29,112.0,260.0,0.46,0.42,0.43,0.44,0.38,0.38,0.41,0.4,0.17,0.09,0.06,0.05,0.11,0.11
1628414,S. Thornwell,2018-19,9,20,5,14,0,0,0,4,1,3,2,8,1,7,18.0,56.0,0.45,0.36,0.0,0.0,0.33,0.25,0.14,0.36,0.25,0.0,0.07,0.05,0.14,0.12
1628414,S. Thornwell,2019-20,3,5,1,2,0,0,1,1,0,0,1,2,1,1,7.0,11.0,0.6,0.5,0.0,1.0,0.0,0.5,1.0,0.45,0.18,0.0,0.09,0.0,0.18,0.09
1628414,S. Thornwell,2020-21,6,10,2,11,0,2,3,5,2,7,2,11,5,12,20.0,58.0,0.6,0.18,0.0,0.6,0.29,0.18,0.42,0.17,0.19,0.03,0.09,0.12,0.19,0.21
1628415,Dillon Brooks,2017-18,148,236,49,120,49,152,4,21,15,30,75,206,19,51,359.0,816.0,0.63,0.41,0.32,0.19,0.5,0.36,0.37,0.29,0.15,0.19,0.03,0.04,0.25,0.06
1628415,Dillon Brooks,2018-19,21,45,6,17,7,20,1,2,1,4,13,33,2,6,51.0,127.0,0.47,0.35,0.35,0.5,0.25,0.39,0.33,0.35,0.13,0.16,0.02,0.03,0.26,0.05
1628415,Dillon Brooks,2019-20,110,211,93,236,85,210,7,24,10,25,130,361,17,49,452.0,1116.0,0.52,0.39,0.4,0.29,0.4,0.36,0.35,0.19,0.21,0.19,0.02,0.02,0.32,0.04
1628415,Dillon Brooks,2020-21,117,199,97,265,90,196,29,50,8,15,91,306,37,65,469.0,1096.0,0.59,0.37,0.46,0.58,0.53,0.3,0.57,0.18,0.24,0.18,0.05,0.01,0.28,0.06
1628415,Dillon Brooks,2021-22,85,136,57,143,39,98,7,17,2,8,37,121,9,25,236.0,548.0,0.62,0.4,0.4,0.41,0.25,0.31,0.36,0.25,0.26,0.18,0.03,0.01,0.22,0.05
1628415,Dillon Brooks,2022-23,113,195,94,233,42,124,19,50,9,33,115,354,28,83,420.0,1072.0,0.58,0.4,0.34,0.38,0.27,0.32,0.34,0.18,0.22,0.12,0.05,0.03,0.33,0.08
1628415,Dillon Brooks,2023-24,111,178,60,160,26,61,13,36,13,26,106,305,26,62,355.0,828.0,0.62,0.38,0.43,0.36,0.5,0.35,0.42,0.21,0.19,0.07,0.04,0.03,0.37,0.07
1628415,Dillon Brooks,2024-25,76,138,72,179,50,109,22,59,23,59,141,350,45,118,429.0,1012.0,0.55,0.4,0.46,0.37,0.39,0.4,0.38,0.14,0.18,0.11,0.06,0.06,0.35,0.12
1628418,Thomas Bryant,2017-18,5,6,0,1,2,4,0,2,0,1,1,7,0,3,8.0,24.0,0.83,0.0,0.5,0.0,0.0,0.14,0.0,0.25,0.04,0.17,0.08,0.04,0.29,0.12
1628418,Thomas Bryant,2018-19,218,273,27,60,31,70,1,5,1,6,31,88,2,11,311.0,513.0,0.8,0.45,0.44,0.2,0.17,0.35,0.18,0.53,0.12,0.14,0.01,0.01,0.17,0.02
1628418,Thomas Bryant,2019-20,145,191,19,42,42,94,2,5,2,5,33,81,4,10,247.0,428.0,0.76,0.45,0.45,0.4,0.4,0.41,0.4,0.45,0.1,0.22,0.01,0.01,0.19,0.02
1628418,Thomas Bryant,2020-21,38,42,10,17,2,11,1,1,0,0,8,20,1,1,60.0,92.0,0.9,0.59,0.18,1.0,0.0,0.4,1.0,0.46,0.18,0.12,0.01,0.0,0.22,0.01
1628418,Thomas Bryant,2021-22,49,67,6,16,10,23,0,2,2,6,10,34,2,8,79.0,156.0,0.73,0.38,0.43,0.0,0.33,0.29,0.25,0.43,0.1,0.15,0.01,0.04,0.22,0.05
1628418,Thomas Bryant,2022-23,146,189,39,78,19,43,2,5,4,8,20,45,6,13,236.0,381.0,0.77,0.5,0.44,0.4,0.5,0.44,0.46,0.5,0.2,0.11,0.01,0.02,0.12,0.03
1628418,Thomas Bryant,2023-24,61,81,17,33,4,13,1,2,1,5,2,15,2,7,88.0,156.0,0.75,0.52,0.31,0.5,0.2,0.13,0.29,0.52,0.21,0.08,0.01,0.03,0.1,0.04
1628418,Thomas Bryant,2024-25,84,125,23,38,8,10,9,25,13,28,26,95,22,53,185.0,374.0,0.67,0.61,0.8,0.36,0.46,0.27,0.42,0.33,0.1,0.03,0.07,0.07,0.25,0.14
1628420,Monté Morris,2017-18,3,4,1,1,0,0,0,0,0,0,0,1,0,0,4.0,6.0,0.75,1.0,0.0,0.0,0.0,0.0,0.0,0.67,0.17,0.0,0.0,0.0,0.17,0.0
1628420,Monté Morris,2018-19,92,154,99,185,63,138,15,40,14,28,63,156,29,68,375.0,769.0,0.6,0.54,0.46,0.38,0.5,0.4,0.43,0.2,0.24,0.18,0.05,0.04,0.2,0.09
1628420,Monté Morris,2019-20,86,132,47,132,62,130,16,40,12,26,37,106,28,66,288.0,632.0,0.65,0.36,0.48,0.4,0.46,0.35,0.42,0.21,0.21,0.21,0.06,0.04,0.17,0.1
1628420,Monté Morris,2020-21,77,108,28,77,30,68,5,22,6,18,40,92,11,40,197.0,425.0,0.71,0.36,0.44,0.23,0.33,0.43,0.28,0.25,0.18,0.16,0.05,0.04,0.22,0.09
1628420,Monté Morris,2021-22,108,160,50,105,92,194,28,57,15,52,81,205,43,109,417.0,882.0,0.68,0.48,0.47,0.49,0.29,0.4,0.39,0.18,0.12,0.22,0.06,0.06,0.23,0.12
1628420,Monté Morris,2022-23,61,84,53,109,56,119,15,34,7,18,55,150,22,52,269.0,566.0,0.73,0.49,0.47,0.44,0.39,0.37,0.42,0.15,0.19,0.21,0.06,0.03,0.27,0.09
1628420,Monté Morris,2023-24,10,19,9,29,16,35,10,19,1,4,16,45,11,23,73.0,174.0,0.53,0.31,0.46,0.53,0.25,0.36,0.48,0.11,0.17,0.2,0.11,0.02,0.26,0.13
1628420,Monté Morris,2024-25,13,20,25,59,14,30,4,19,11,22,16,45,15,41,98.0,236.0,0.65,0.42,0.47,0.21,0.5,0.36,0.37,0.08,0.25,0.13,0.08,0.09,0.19,0.17
1628425,S. Brown,2017-18,32,65,6,21,12,28,9,24,6,17,17,49,15,41,97.0,245.0,0.49,0.29,0.43,0.38,0.35,0.35,0.37,0.27,0.09,0.11,0.1,0.07,0.2,0.17
1628425,S. Brown,2018-19,77,129,8,20,7,17,14,26,15,31,24,87,29,57,174.0,367.0,0.6,0.4,0.41,0.54,0.48,0.28,0.51,0.35,0.05,0.05,0.07,0.08,0.24,0.16
1628425,S. Brown,2019-20,36,68,9,28,6,24,13,29,7,19,24,87,20,48,115.0,303.0,0.53,0.32,0.25,0.45,0.37,0.28,0.42,0.22,0.09,0.08,0.1,0.06,0.29,0.16
1628425,S. Brown,2020-21,46,79,10,27,3,14,24,61,13,33,54,118,37,94,187.0,426.0,0.58,0.37,0.21,0.39,0.39,0.46,0.39,0.19,0.06,0.03,0.14,0.08,0.28,0.22
1628425,S. Brown,2021-22,21,38,5,14,5,12,6,25,5,22,17,43,11,47,70.0,201.0,0.55,0.36,0.42,0.24,0.23,0.4,0.23,0.19,0.07,0.06,0.12,0.11,0.21,0.23
1628425,S. Brown,2022-23,0,2,0,0,0,0,0,1,0,0,0,1,0,1,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2,0.0,0.2,0.2
1628427,Vlatko Čančar,2019-20,5,7,0,1,0,1,0,1,0,0,1,5,0,1,6.0,16.0,0.71,0.0,0.0,0.0,0.0,0.2,0.0,0.44,0.06,0.06,0.06,0.0,0.31,0.06
1628427,Vlatko Čančar,2020-21,20,30,2,5,2,4,2,3,4,6,3,23,6,9,39.0,80.0,0.67,0.4,0.5,0.67,0.67,0.13,0.67,0.38,0.06,0.05,0.04,0.08,0.29,0.11
1628427,Vlatko Čančar,2021-22,14,19,2,8,0,2,2,5,0,0,5,7,2,5,25.0,46.0,0.74,0.25,0.0,0.4,0.0,0.71,0.4,0.41,0.17,0.04,0.11,0.0,0.15,0.11
1628427,Vlatko Čančar,2022-23,48,69,12,34,5,9,13,30,4,9,25,72,17,39,124.0,262.0,0.7,0.35,0.56,0.43,0.44,0.35,0.44,0.26,0.13,0.03,0.11,0.03,0.27,0.15
1628427,Vlatko Čančar,2024-25,4,9,2,2,0,0,0,1,2,3,2,11,2,4,12.0,30.0,0.44,1.0,0.0,0.0,0.67,0.18,0.5,0.3,0.07,0.0,0.03,0.1,0.37,0.13
1628432,D. Reed,2017-18,5,14,3,6,3,18,0,2,0,3,11,33,0,5,22.0,81.0,0.36,0.5,0.17,0.0,0.0,0.33,0.0,0.17,0.07,0.22,0.02,0.04,0.41,0.06
1628432,D. Reed,2018-19,3,4,0,1,0,3,0,0,0,0,2,4,0,0,5.0,12.0,0.75,0.0,0.0,0.0,0.0,0.5,0.0,0.33,0.08,0.25,0.0,0.0,0.33,0.0
1628432,D. Reed,2019-20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628432,D. Reed,2021-22,18,29,12,21,14,25,7,19,3,7,27,60,10,26,91.0,187.0,0.62,0.57,0.56,0.37,0.43,0.45,0.38,0.16,0.11,0.13,0.1,0.04,0.32,0.14
1628432,D. Reed,2022-23,4,9,2,15,5,14,2,10,3,4,12,32,5,14,33.0,98.0,0.44,0.13,0.36,0.2,0.75,0.38,0.36,0.09,0.15,0.14,0.1,0.04,0.33,0.14
1628432,D. Reed,2023-24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628432,D. Reed,2024-25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628436,Luke Kornet,2017-18,17,26,1,7,3,13,0,5,3,4,25,70,3,9,52.0,134.0,0.65,0.14,0.23,0.0,0.75,0.36,0.33,0.19,0.05,0.1,0.04,0.03,0.52,0.07
1628436,Luke Kornet,2018-19,24,42,6,21,7,28,7,14,6,13,57,165,13,27,120.0,310.0,0.57,0.29,0.25,0.5,0.46,0.35,0.48,0.14,0.07,0.09,0.05,0.04,0.53,0.09
1628436,Luke Kornet,2019-20,42,58,7,15,2,6,2,15,2,10,27,83,4,25,86.0,212.0,0.72,0.47,0.33,0.13,0.2,0.33,0.16,0.27,0.07,0.03,0.07,0.05,0.39,0.12
1628436,Luke Kornet,2020-21,23,30,4,9,2,3,2,6,1,5,12,48,3,11,47.0,112.0,0.77,0.44,0.67,0.33,0.2,0.25,0.27,0.27,0.08,0.03,0.05,0.04,0.43,0.1
1628436,Luke Kornet,2021-22,11,17,2,4,0,1,0,0,0,0,0,5,0,0,13.0,27.0,0.65,0.5,0.0,0.0,0.0,0.0,0.0,0.63,0.15,0.04,0.0,0.0,0.19,0.0
1628436,Luke Kornet,2022-23,96,128,14,26,0,3,0,2,2,6,1,4,2,8,115.0,177.0,0.75,0.54,0.0,0.0,0.33,0.25,0.25,0.72,0.15,0.02,0.01,0.03,0.02,0.05
1628436,Luke Kornet,2023-24,136,180,3,19,2,3,0,0,0,0,1,1,0,0,142.0,203.0,0.76,0.16,0.67,0.0,0.0,1.0,0.0,0.89,0.09,0.01,0.0,0.0,0.0,0.0
1628436,Luke Kornet,2024-25,164,225,19,46,4,6,0,0,0,1,0,2,0,1,187.0,281.0,0.73,0.41,0.67,0.0,0.0,0.0,0.0,0.8,0.16,0.02,0.0,0.0,0.01,0.0
1628449,Chris Boucher,2017-18,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5
1628449,Chris Boucher,2018-19,22,35,0,3,0,1,1,3,2,5,9,29,3,8,37.0,84.0,0.63,0.0,0.0,0.33,0.4,0.31,0.38,0.42,0.04,0.01,0.04,0.06,0.35,0.1
1628449,Chris Boucher,2019-20,91,148,8,23,4,10,1,7,3,11,34,100,4,18,145.0,317.0,0.61,0.35,0.4,0.14,0.27,0.34,0.22,0.47,0.07,0.03,0.02,0.03,0.32,0.06
1628449,Chris Boucher,2020-21,167,251,22,51,9,23,2,8,9,26,79,201,11,34,299.0,594.0,0.67,0.43,0.39,0.25,0.35,0.39,0.32,0.42,0.09,0.04,0.01,0.04,0.34,0.06
1628449,Chris Boucher,2021-22,175,264,18,53,8,32,9,25,20,42,38,160,29,67,297.0,643.0,0.66,0.34,0.25,0.36,0.48,0.24,0.43,0.41,0.08,0.05,0.04,0.07,0.25,0.1
1628449,Chris Boucher,2022-23,157,247,28,63,15,31,14,40,19,54,28,91,33,94,294.0,620.0,0.64,0.44,0.48,0.35,0.35,0.31,0.35,0.4,0.1,0.05,0.06,0.09,0.15,0.15
1628449,Chris Boucher,2023-24,69,97,8,20,2,6,4,20,7,23,20,51,11,43,121.0,260.0,0.71,0.4,0.33,0.2,0.3,0.39,0.26,0.37,0.08,0.02,0.08,0.09,0.2,0.17
1628449,Chris Boucher,2024-25,86,119,17,40,9,18,16,38,18,49,36,106,34,87,216.0,457.0,0.72,0.42,0.5,0.42,0.37,0.34,0.39,0.26,0.09,0.04,0.08,0.11,0.23,0.19
1628455,A. James,2016-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1628455,A. James,2017-18,51,95,28,60,18,68,4,8,2,3,20,86,6,11,129.0,331.0,0.54,0.47,0.26,0.5,0.67,0.23,0.55,0.29,0.18,0.21,0.02,0.01,0.26,0.03
1628455,A. James,2020-21,5,19,10,23,8,19,2,4,2,3,7,24,4,7,38.0,99.0,0.26,0.43,0.42,0.5,0.67,0.29,0.57,0.19,0.23,0.19,0.04,0.03,0.24,0.07
1628462,M. Teodosic,2017-18,15,24,13,26,35,78,2,11,6,9,80,212,8,20,159.0,380.0,0.62,0.5,0.45,0.18,0.67,0.38,0.4,0.06,0.07,0.21,0.03,0.02,0.56,0.05
1628462,M. Teodosic,2018-19,3,4,1,4,3,5,1,2,1,2,8,22,2,4,19.0,43.0,0.75,0.25,0.6,0.5,0.5,0.36,0.5,0.09,0.09,0.12,0.05,0.05,0.51,0.09
1628464,D. Theis,2017-18,82,118,8,19,18,38,6,8,2,7,10,43,8,15,134.0,248.0,0.69,0.42,0.47,0.75,0.29,0.23,0.53,0.48,0.08,0.15,0.03,0.03,0.17,0.06
1628464,D. Theis,2018-19,98,130,11,32,11,37,0,1,0,4,26,62,0,5,146.0,271.0,0.75,0.34,0.3,0.0,0.0,0.42,0.0,0.48,0.12,0.14,0.0,0.01,0.23,0.02
1628464,D. Theis,2019-20,161,226,31,70,17,34,2,4,3,12,27,78,5,16,246.0,440.0,0.71,0.44,0.5,0.5,0.25,0.35,0.31,0.51,0.16,0.08,0.01,0.03,0.18,0.04
1628464,D. Theis,2020-21,126,165,42,79,35,70,5,18,5,20,39,113,10,38,262.0,503.0,0.76,0.53,0.5,0.28,0.25,0.35,0.26,0.33,0.16,0.14,0.04,0.04,0.22,0.08
1628464,D. Theis,2021-22,88,118,22,43,8,24,6,14,4,14,23,77,10,28,161.0,318.0,0.75,0.51,0.33,0.43,0.29,0.3,0.36,0.37,0.14,0.08,0.04,0.04,0.24,0.09
1628464,D. Theis,2022-23,13,21,6,8,0,4,0,0,1,2,1,8,1,2,22.0,45.0,0.62,0.75,0.0,0.0,0.5,0.12,0.5,0.47,0.18,0.09,0.0,0.04,0.18,0.04
1628464,D. Theis,2023-24,97,140,30,66,3,16,2,11,4,8,20,51,6,19,162.0,311.0,0.69,0.45,0.19,0.18,0.5,0.39,0.32,0.45,0.21,0.05,0.04,0.03,0.16,0.06
