,,,Restricted Area,Restricted Area,In The Paint (Non-RA),In The Paint (Non-RA),Mid-Range,Mid-Range,Left Corner 3,Left Corner 3,Right Corner 3,Right Corner 3,Above the Break 3,Above the Break 3,Corner 3,Corner 3,,,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,Corner 3,Restricted Area,In The Paint (Non-RA),Mid-Range,Left Corner 3,Right Corner 3,Above the Break 3,Corner 3
PLAYER_ID,PLAYER,SEASON,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,TOTAL_FGM,TOTAL_FGA,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FG_PCT,FREQ,FREQ,FREQ,FREQ,FREQ,FREQ,FREQ
201144,Mike Conley,2021-22,51,96,110,240,14,41,10,19,17,51,142,343,27,70,371.0,860.0,0.53,0.46,0.34,0.53,0.33,0.41,0.39,0.11,0.28,0.05,0.02,0.06,0.4,0.08
201144,Mike Conley,2022-23,43,73,64,146,20,42,10,18,23,40,101,289,33,58,294.0,666.0,0.59,0.44,0.48,0.56,0.57,0.35,0.57,0.11,0.22,0.06,0.03,0.06,0.43,0.09
201144,Mike Conley,2023-24,53,77,47,116,15,46,24,47,24,51,131,307,48,98,342.0,742.0,0.69,0.41,0.33,0.51,0.47,0.43,0.49,0.1,0.16,0.06,0.06,0.07,0.41,0.13
201144,Mike Conley,2024-25,30,56,25,75,5,27,19,40,25,48,83,221,44,88,231.0,555.0,0.54,0.33,0.19,0.48,0.52,0.38,0.5,0.1,0.14,0.05,0.07,0.09,0.4,0.16
201145,Jeff Green,2015-16,168,294,54,145,65,172,11,32,15,45,41,131,26,77,380.0,896.0,0.57,0.37,0.38,0.34,0.33,0.31,0.34,0.33,0.16,0.19,0.04,0.05,0.15,0.09
201145,Jeff Green,2016-17,81,144,37,88,49,133,6,21,7,18,40,147,13,39,233.0,590.0,0.56,0.42,0.37,0.29,0.39,0.27,0.33,0.24,0.15,0.23,0.04,0.03,0.25,0.07
201145,Jeff Green,2017-18,180,269,27,83,35,96,8,28,16,43,29,91,24,71,319.0,681.0,0.67,0.33,0.36,0.29,0.37,0.32,0.34,0.4,0.12,0.14,0.04,0.06,0.13,0.1
201145,Jeff Green,2018-19,137,186,33,76,45,105,13,42,24,53,74,221,37,95,363.0,778.0,0.74,0.43,0.43,0.31,0.45,0.33,0.39,0.24,0.1,0.13,0.05,0.07,0.28,0.12
201145,Jeff Green,2019-20,75,109,17,40,5,13,15,39,13,36,34,100,28,75,187.0,412.0,0.69,0.42,0.38,0.38,0.36,0.34,0.37,0.26,0.1,0.03,0.09,0.09,0.24,0.18
201145,Jeff Green,2020-21,115,166,29,77,14,37,22,42,26,67,55,138,48,109,309.0,636.0,0.69,0.38,0.38,0.52,0.39,0.4,0.44,0.26,0.12,0.06,0.07,0.11,0.22,0.17
201145,Jeff Green,2021-22,167,219,41,94,16,48,13,42,16,51,24,73,29,93,306.0,620.0,0.76,0.44,0.33,0.31,0.31,0.33,0.31,0.35,0.15,0.08,0.07,0.08,0.12,0.15
201145,Jeff Green,2022-23,88,130,33,66,9,28,7,18,9,20,14,64,16,38,176.0,364.0,0.68,0.5,0.32,0.39,0.45,0.22,0.42,0.36,0.18,0.08,0.05,0.05,0.18,0.1
