,star_player,LINEUP_ARCHETYPE,player1_archetype,player2_archetype,player3_archetype,player4_archetype,fg_pct,opp_fg_pct,fta,opp_fta,ast,opp_ast,oreb,opp_oreb,dreb,opp_dreb,tov,opp_tov,stl,opp_stl,blk,opp_blk,pf,opp_pf,min_sum
95,LeBron James,All Around Big-Glue guy-Rim Runner/Protector-Shot Creator Guard,All Around Big,Glue guy,Rim Runner/Protector,Shot Creator Guard,52.8,46.27,24.79,11.13,26.51,25.04,11.15,7.93,36.47,27.04,15.14,16.58,10.9,8.4,4.74,4.46,12.63,20.61,193.48
96,LeBron James,Movement Shooter-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,53.33,41.21,27.78,19.96,29.06,24.01,7.57,11.63,37.61,30.55,15.91,13.15,5.57,8.09,5.29,3.53,18.94,24.01,190.04
97,LeBron James,All Around Big-All Around Guard-Pure Point Guard-Rim Runner/Protector,All Around Big,All Around Guard,Pure Point Guard,Rim Runner/Protector,47.94,42.34,32.2,17.6,22.73,18.86,12.77,7.39,36.53,29.64,12.76,16.87,8.43,6.87,4.6,3.84,16.59,24.78,187.97
98,LeBron James,All Around Guard-Movement Shooter-Rim Runner/Protector-Wing Shot Creator,All Around Guard,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,53.0,48.45,21.19,15.7,26.97,26.16,9.95,6.77,32.7,28.5,10.98,14.12,6.82,5.24,6.24,2.08,17.01,21.47,183.39
99,LeBron James,All Around Guard-Movement Shooter-Shot Creator Guard-Stretch Big,All Around Guard,Movement Shooter,Shot Creator Guard,Stretch Big,56.94,40.82,30.81,22.82,31.43,21.52,9.62,12.24,36.73,28.16,8.95,9.27,5.28,4.93,3.63,4.27,19.24,19.86,144.99
100,LeBron James,All Around Big-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,All Around Big,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,54.68,45.21,26.1,18.33,28.55,25.36,8.82,10.59,38.43,29.97,15.88,13.39,5.67,9.89,5.31,3.89,15.18,19.4,136.09
101,LeBron James,All Around Big-All Around Guard-Shot Creator Guard-Wing Shot Creator,All Around Big,All Around Guard,Shot Creator Guard,Wing Shot Creator,56.64,48.88,29.62,16.7,31.67,26.74,6.71,8.36,32.93,27.95,14.18,12.5,6.29,8.36,6.29,2.88,12.92,24.61,115.07
102,LeBron James,Shot Creator Guard-Shot Creator Guard-Stretch Big-Stretch Big,Shot Creator Guard,Shot Creator Guard,Stretch Big,Stretch Big,55.9,46.6,14.2,15.1,29.8,24.9,12.5,11.6,32.5,26.7,12.9,15.6,9.3,7.6,2.2,3.6,15.1,12.9,107.83
103,LeBron James,3&D-All Around Big-Movement Shooter-Pure Point Guard,3&D,All Around Big,Movement Shooter,Pure Point Guard,49.99,46.31,33.73,23.14,24.58,21.66,7.23,6.75,35.62,34.19,13.48,17.83,9.61,6.28,7.69,4.31,19.27,27.46,99.63
104,LeBron James,All Around Big-All Around Guard-Pure Point Guard-Wing Shot Creator,All Around Big,All Around Guard,Pure Point Guard,Wing Shot Creator,50.48,46.21,23.42,10.96,26.9,26.4,9.97,11.93,38.32,31.35,12.45,12.46,5.97,7.47,4.98,2.48,13.94,20.93,96.37
105,Luka Dončić,All Around Guard-Movement Shooter-Movement Shooter-Rim Runner/Protector,All Around Guard,Movement Shooter,Movement Shooter,Rim Runner/Protector,52.45,47.25,25.71,20.1,24.72,23.98,9.04,8.46,31.92,30.51,11.31,13.3,7.52,7.2,4.18,2.41,18.31,21.4,852.68
106,Luka Dončić,3&D-All Around Guard-Movement Shooter-Rim Runner/Protector,3&D,All Around Guard,Movement Shooter,Rim Runner/Protector,50.7,45.94,24.03,21.25,24.63,24.97,9.19,9.05,35.29,30.9,12.77,11.95,6.28,6.52,3.27,2.93,19.28,21.04,413.31
107,Luka Dončić,3&D-All Around Big-Movement Shooter-Pure Point Guard,3&D,All Around Big,Movement Shooter,Pure Point Guard,50.74,46.89,18.1,15.59,25.33,22.65,7.99,8.84,35.13,32.62,12.41,11.09,6.61,7.69,5.08,2.42,15.85,17.97,341.55
108,Luka Dončić,Movement Shooter-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,51.29,46.3,19.92,19.62,26.17,30.63,12.8,12.33,33.01,31.23,12.92,14.29,8.91,8.49,4.14,3.1,18.89,18.44,322.7
109,Luka Dončić,3&D-All Around Big-Rim Runner/Protector-Wing Shot Creator,3&D,All Around Big,Rim Runner/Protector,Wing Shot Creator,48.78,43.12,24.09,14.12,26.59,25.0,10.03,10.49,40.03,32.34,14.58,9.74,6.62,9.09,6.36,2.92,14.12,21.65,210.96
110,Luka Dončić,3&D-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,3&D,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,53.82,49.65,18.41,25.5,25.72,27.14,5.65,8.48,31.6,34.0,10.42,11.33,6.16,7.31,3.3,1.67,19.35,16.75,203.37
111,Luka Dončić,Movement Shooter-Movement Shooter-Rim Runner/Protector-Wing Shot Creator,Movement Shooter,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,50.95,44.61,19.0,24.69,27.13,28.22,11.67,14.11,32.6,31.51,10.32,15.19,8.67,6.51,4.61,3.79,20.09,18.73,176.79
112,Luka Dončić,Movement Shooter-Movement Shooter-Stretch Big-Wing Shot Creator,Movement Shooter,Movement Shooter,Stretch Big,Wing Shot Creator,51.94,48.86,24.66,19.44,27.56,27.54,6.95,9.86,29.57,34.51,9.55,12.47,6.95,4.93,6.07,4.63,19.4,20.87,165.52
113,Luka Dončić,Movement Shooter-Stretch Big-Stretch Big-Wing Shot Creator,Movement Shooter,Stretch Big,Stretch Big,Wing Shot Creator,47.92,40.93,27.96,20.94,23.88,21.24,9.59,10.75,38.73,35.8,10.75,17.45,8.43,6.97,6.4,3.78,16.58,22.4,164.9
114,Luka Dončić,3&D-Movement Shooter-Pure Point Guard-Rim Runner/Protector,3&D,Movement Shooter,Pure Point Guard,Rim Runner/Protector,47.14,43.49,33.18,16.32,21.68,24.75,10.16,11.94,36.71,29.64,14.17,15.93,11.5,10.18,6.21,3.54,18.57,26.53,108.53
115,Luka Dončić,Shot Creator Guard-Stretch Big-Stretch Big-Wing Shot Creator,Shot Creator Guard,Stretch Big,Stretch Big,Wing Shot Creator,55.9,46.6,14.2,15.1,29.8,24.9,12.5,11.6,32.5,26.7,12.9,15.6,9.3,7.6,2.2,3.6,15.1,12.9,107.83
116,Luka Dončić,3&D-Movement Shooter-Movement Shooter-Rim Runner/Protector,3&D,Movement Shooter,Movement Shooter,Rim Runner/Protector,50.26,46.01,29.24,18.71,26.03,25.56,9.14,9.58,33.37,31.97,11.86,15.53,6.39,6.39,2.28,1.36,16.44,24.69,105.05
117,Luka Dončić,3&D-All Around Guard-Rim Runner/Protector-Stretch Big,3&D,All Around Guard,Rim Runner/Protector,Stretch Big,51.8,48.36,24.08,17.14,26.84,24.98,10.64,12.5,33.31,29.14,14.33,14.33,6.48,8.33,4.17,3.24,18.51,22.21,103.75
118,Luka Dončić,3&D-Rim Runner/Protector-Stretch Big-Wing Shot Creator,3&D,Rim Runner/Protector,Stretch Big,Wing Shot Creator,53.11,40.41,23.81,13.98,25.23,20.59,11.7,12.67,41.57,29.48,12.18,9.36,5.58,6.05,2.84,4.63,15.4,18.72,102.72
119,Luka Dončić,All Around Guard-Glue guy-Movement Shooter-Rim Runner/Protector,All Around Guard,Glue guy,Movement Shooter,Rim Runner/Protector,50.22,45.05,21.29,21.29,22.74,23.24,7.24,8.22,34.84,33.88,11.14,14.02,7.74,6.3,4.84,3.41,16.46,18.87,99.2
120,Nikola Jokić,All Around Big-Movement Shooter-Shot Creator Guard-Wing Shot Creator,All Around Big,Movement Shooter,Shot Creator Guard,Wing Shot Creator,51.58,48.07,20.46,18.36,31.06,27.88,10.63,9.11,33.97,30.75,11.61,12.09,7.39,7.06,4.64,4.14,14.91,18.15,1519.82
121,Nikola Jokić,Movement Shooter-Shot Creator Guard-Wing Shot Creator-Wing Shot Creator,Movement Shooter,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,54.09,48.67,21.96,18.78,33.23,27.55,10.65,10.02,32.81,28.88,12.6,13.52,7.81,7.89,3.93,4.0,15.62,19.51,1471.8
122,Nikola Jokić,Shot Creator Guard-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,Shot Creator Guard,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,53.71,48.95,22.22,17.24,34.26,30.6,11.02,10.53,33.79,29.35,12.61,12.12,8.06,7.94,3.8,4.84,15.04,18.54,1019.84
123,Nikola Jokić,Movement Shooter-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,Movement Shooter,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,55.69,46.07,26.77,23.03,35.96,27.73,8.72,10.96,34.08,29.23,14.82,14.26,8.64,9.56,4.62,3.92,18.36,21.0,612.79
124,Nikola Jokić,Movement Shooter-Movement Shooter-Shot Creator Guard-Wing Shot Creator,Movement Shooter,Movement Shooter,Shot Creator Guard,Wing Shot Creator,53.25,49.28,21.86,20.22,32.64,29.34,10.1,6.91,33.9,30.86,11.22,12.03,7.6,6.5,2.62,3.72,15.07,18.94,346.82
125,Nikola Jokić,All Around Guard-Shot Creator Guard-Shot Creator Guard-Wing Shot Creator,All Around Guard,Shot Creator Guard,Shot Creator Guard,Wing Shot Creator,50.45,47.03,21.01,16.96,27.16,25.26,11.29,8.35,33.24,29.0,11.76,12.7,7.37,6.09,2.69,3.8,15.09,19.14,305.8
126,Nikola Jokić,All Around Big-Movement Shooter-Pure Point Guard-Shot Creator Guard,All Around Big,Movement Shooter,Pure Point Guard,Shot Creator Guard,50.79,43.85,24.95,20.13,32.08,24.23,12.3,9.6,37.08,28.89,13.71,16.04,9.09,7.48,5.87,6.08,17.27,23.9,269.41
127,Nikola Jokić,Pure Point Guard-Shot Creator Guard-Shot Creator Guard-Wing Shot Creator,Pure Point Guard,Shot Creator Guard,Shot Creator Guard,Wing Shot Creator,50.54,46.2,15.53,16.35,28.85,28.28,9.48,10.3,36.53,33.69,10.91,15.13,9.09,6.63,4.22,5.67,14.13,17.75,237.76
128,Nikola Jokić,Movement Shooter-Movement Shooter-Wing Shot Creator-Wing Shot Creator,Movement Shooter,Movement Shooter,Wing Shot Creator,Wing Shot Creator,54.34,44.49,29.17,23.69,35.38,26.55,9.56,9.08,36.11,27.03,17.44,19.84,12.65,10.53,5.99,6.68,21.54,23.42,200.75
129,Nikola Jokić,Movement Shooter-Movement Shooter-Stretch Big-Wing Shot Creator,Movement Shooter,Movement Shooter,Stretch Big,Wing Shot Creator,53.66,42.19,29.77,14.29,29.54,23.55,8.78,10.28,40.04,27.54,12.52,13.25,8.27,7.98,4.03,2.53,16.8,24.26,191.64
130,Nikola Jokić,All Around Guard-Pure Point Guard-Shot Creator Guard-Stretch Big,All Around Guard,Pure Point Guard,Shot Creator Guard,Stretch Big,48.49,43.33,26.23,22.37,25.34,22.69,10.9,9.12,32.41,29.45,13.84,13.83,8.54,8.55,3.54,2.64,20.93,26.8,162.96
131,Nikola Jokić,Wing Shot Creator-Wing Shot Creator-Wing Shot Creator-Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,Wing Shot Creator,56.1,45.8,26.2,16.1,38.1,29.9,14.2,14.2,33.3,26.2,16.5,16.1,9.3,10.8,3.7,4.1,14.6,20.2,128.39
132,Nikola Jokić,Pure Point Guard-Pure Point Guard-Wing Shot Creator-Wing Shot Creator,Pure Point Guard,Pure Point Guard,Wing Shot Creator,Wing Shot Creator,52.01,46.12,30.29,19.49,28.64,23.67,8.29,8.69,41.07,29.48,14.11,11.18,6.62,7.87,3.72,4.13,16.17,21.57,115.66
133,Nikola Jokić,Movement Shooter-Stretch Big-Wing Shot Creator-Wing Shot Creator,Movement Shooter,Stretch Big,Wing Shot Creator,Wing Shot Creator,56.3,46.96,26.37,21.36,36.49,26.02,10.08,10.09,31.01,26.8,15.1,12.15,5.43,10.08,6.68,4.17,13.85,21.77,114.57
134,Nikola Jokić,Rim Runner/Protector-Shot Creator Guard-Shot Creator Guard-Shot Creator Guard,Rim Runner/Protector,Shot Creator Guard,Shot Creator Guard,Shot Creator Guard,52.07,46.61,26.36,21.48,28.58,23.27,9.22,7.02,34.71,28.94,9.65,12.27,7.03,5.27,2.62,4.36,20.67,21.08,109.31
135,Shai Gilgeous-Alexander,All Around Big-Movement Shooter-Shot Creator Guard-Wing Shot Creator,All Around Big,Movement Shooter,Shot Creator Guard,Wing Shot Creator,51.2,45.63,19.63,21.14,29.59,28.09,8.24,11.96,35.37,34.23,11.67,14.66,7.53,6.79,7.26,4.96,17.73,17.76,966.01
136,Shai Gilgeous-Alexander,Movement Shooter-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,Movement Shooter,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,49.42,43.23,20.3,22.74,26.75,23.53,10.2,11.41,35.07,32.81,10.69,17.41,11.62,5.5,5.63,4.5,19.62,16.85,586.92
137,Shai Gilgeous-Alexander,All Around Big-Movement Shooter-Movement Shooter-Shot Creator Guard,All Around Big,Movement Shooter,Movement Shooter,Shot Creator Guard,49.98,43.04,26.96,25.21,25.09,24.72,8.88,12.13,33.71,35.01,9.58,18.66,11.68,5.72,8.03,5.83,18.41,21.22,411.46
138,Shai Gilgeous-Alexander,Movement Shooter-Movement Shooter-Movement Shooter-Stretch Big,Movement Shooter,Movement Shooter,Movement Shooter,Stretch Big,51.72,40.34,25.88,23.69,26.31,24.94,9.5,9.35,36.23,32.1,9.64,17.89,10.32,5.22,4.68,3.02,18.73,21.61,348.44
139,Shai Gilgeous-Alexander,Movement Shooter-Movement Shooter-Movement Shooter-Shot Creator Guard,Movement Shooter,Movement Shooter,Movement Shooter,Shot Creator Guard,46.83,47.04,23.03,33.01,26.16,25.59,10.72,12.11,29.27,36.31,9.39,20.3,13.69,5.09,6.26,4.08,25.17,20.13,245.8
140,Shai Gilgeous-Alexander,All Around Big-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,All Around Big,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,55.62,45.3,19.4,20.12,29.17,25.24,10.62,10.86,37.45,27.86,14.11,14.29,7.72,8.48,6.39,4.79,18.09,18.28,180.84
141,Shai Gilgeous-Alexander,All Around Big-Shot Creator Guard-Shot Creator Guard-Wing Shot Creator,All Around Big,Shot Creator Guard,Shot Creator Guard,Wing Shot Creator,52.6,44.1,48.1,21.5,19.6,22.3,10.1,12.5,34.8,26.4,11.7,15.8,9.5,6.5,4.9,2.7,16.9,34.3,176.57
142,Shai Gilgeous-Alexander,Movement Shooter-Shot Creator Guard-Stretch Big-Wing Shot Creator,Movement Shooter,Shot Creator Guard,Stretch Big,Wing Shot Creator,53.55,51.59,23.11,25.65,30.53,32.5,10.27,9.98,30.51,33.08,9.14,15.71,9.69,5.7,4.57,6.0,20.55,18.84,168.29
