ALL_STAR_ID,ALL_STAR_NAME,GROUP_ID,GROUP_NAME,LINEUP_ARCHETYPE,SEASON
2544,LeBron James,2544-2747-201145-201567-201588,L. James - J. Smith - J. Green - K. Love - G. Hill,All Around Guard-Shot Creator Guard-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-2747-201145-201567-202738,L. James - J. Smith - J. Green - K. Love - I. Thomas,All Around Guard-All Around Guard-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-2747-201145-201567-203903,L. James - J. Smith - J. Green - K. Love - J. Clarkson,All Around Guard-Shot Creator Guard-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-2747-201145-202684-203109,L. James - J. Smith - J. Green - T. Thompson - J. Crowder,All Around Guard-Glue guy-Rim Runner/Protector-Wing Shot Creator,2017-18
2544,LeBron James,2544-2747-201567-203903-1626204,L. James - J. Smith - K. Love - J. Clarkson - L. Nance Jr.,All Around Guard-Rim Runner/Protector-Shot Creator Guard-Stretch Big,2017-18
2544,LeBron James,2544-2594-201588-203903-1626204,L. James - K. Korver - G. Hill - J. Clarkson - L. Nance Jr.,Movement Shooter-Rim Runner/Protector-Shot Creator Guard-Shot Creator Guard,2017-18
2544,LeBron James,2544-2594-201145-201588-203903,L. James - K. Korver - J. Green - G. Hill - J. Clarkson,Movement Shooter-Shot Creator Guard-Shot Creator Guard-Wing Shot Creator,2017-18
2544,LeBron James,2544-2594-201145-201567-1626224,L. James - K. Korver - J. Green - K. Love - C. Osman,Glue guy-Movement Shooter-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-201567-201588-203903-203918,L. James - K. Love - G. Hill - J. Clarkson - R. Hood,All Around Guard-Shot Creator Guard-Shot Creator Guard-Stretch Big,2017-18
2544,LeBron James,2544-2548-2747-201567-202697,L. James - D. Wade - J. Smith - K. Love - I. Shumpert,All Around Guard-All Around Guard-Shot Creator Guard-Stretch Big,2017-18
2544,LeBron James,2544-2548-2747-202684-202738,L. James - D. Wade - J. Smith - T. Thompson - I. Thomas,All Around Guard-All Around Guard-Rim Runner/Protector-Shot Creator Guard,2017-18
2544,LeBron James,2544-2747-201145-201565-201567,L. James - J. Smith - J. Green - D. Rose - K. Love,All Around Guard-Glue guy-Stretch Big-Wing Shot Creator,2017-18
2544,LeBron James,2544-2747-201145-202684-202697,L. James - J. Smith - J. Green - T. Thompson - I. Shumpert,All Around Guard-All Around Guard-Rim Runner/Protector-Wing Shot Creator,2017-18
2544,LeBron James,2544-2747-201567-203109-1626224,L. James - J. Smith - K. Love - J. Crowder - C. Osman,All Around Guard-Glue guy-Glue guy-Stretch Big,2017-18
2544,LeBron James,2544-2548-101181-201567-203109,L. James - D. Wade - J. Calderon - K. Love - J. Crowder,Glue guy-Movement Shooter-Shot Creator Guard-Stretch Big,2017-18
2544,LeBron James,2544-2548-2747-101112-203109,L. James - D. Wade - J. Smith - C. Frye - J. Crowder,All Around Guard-Glue guy-Shot Creator Guard-Stretch Big,2017-18
2544,LeBron James,2544-2548-2747-202738-203109,L. James - D. Wade - J. Smith - I. Thomas - J. Crowder,All Around Guard-All Around Guard-Glue guy-Shot Creator Guard,2017-18
2544,LeBron James,2544-201588-202684-203903-203918,L. James - G. Hill - T. Thompson - J. Clarkson - R. Hood,All Around Guard-Rim Runner/Protector-Shot Creator Guard-Shot Creator Guard,2017-18
2544,LeBron James,2544-101181-201145-201588-203918,L. James - J. Calderon - J. Green - G. Hill - R. Hood,All Around Guard-Movement Shooter-Shot Creator Guard-Wing Shot Creator,2017-18
2544,LeBron James,2544-101181-201567-202684-203918,L. James - J. Calderon - K. Love - T. Thompson - R. Hood,All Around Guard-Movement Shooter-Rim Runner/Protector-Stretch Big,2017-18
2544,LeBron James,2544-201145-201588-1626204-1626224,L. James - J. Green - G. Hill - L. Nance Jr. - C. Osman,Glue guy-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,2017-18
2544,LeBron James,2544-2747-101112-202738-203109,L. James - J. Smith - C. Frye - I. Thomas - J. Crowder,All Around Guard-All Around Guard-Glue guy-Stretch Big,2017-18
2544,LeBron James,2544-2747-101181-201567-203918,L. James - J. Smith - J. Calderon - K. Love - R. Hood,All Around Guard-All Around Guard-Movement Shooter-Stretch Big,2017-18
2544,LeBron James,2544-2747-201145-201588-203918,L. James - J. Smith - J. Green - G. Hill - R. Hood,All Around Guard-All Around Guard-Shot Creator Guard-Wing Shot Creator,2017-18
