,star_player,LINEUP_ARCHETYPE,player1_archetype,player2_archetype,player3_archetype,player4_archetype,pct_pts_3pt,pct_pts_paint,pct_pts_fb,pct_pts_2pt_mr,pct_ast_fgm,pct_uast_fgm,efg_pct,ts_pct,min_sum
79,Kevin Durant,All Around Big-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,All Around Big,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,0.33054395604395603,0.42323626373626366,0.21180219780219778,0.11961538461538464,0.8123461538461537,0.18765384615384614,0.6516098901098902,0.6807087912087911,182.0
80,Kevin Durant,3&D-All Around Big-Pure Point Guard-Shot Creator Guard,3&D,All Around Big,Pure Point Guard,Shot Creator Guard,0.36650666666666665,0.38288,0.10154666666666666,0.09696,0.63988,0.36012,0.6142000000000001,0.6469733333333333,150.0
81,Kevin Durant,Post Scorer-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,Post Scorer,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,0.3412297297297298,0.3633445945945946,0.17120270270270274,0.16560810810810808,0.6320675675675677,0.368027027027027,0.6450945945945946,0.6700675675675675,148.0
82,Kevin Durant,All Around Big-Rim Runner/Protector-Shot Creator Guard-Shot Creator Guard,All Around Big,Rim Runner/Protector,Shot Creator Guard,Shot Creator Guard,0.3796,0.40850000000000003,0.24210000000000004,0.08600000000000001,0.7418,0.25820000000000004,0.5899,0.6149,140.0
83,Kevin Durant,3&D-All Around Big-Movement Shooter-Shot Creator Guard,3&D,All Around Big,Movement Shooter,Shot Creator Guard,0.44545599999999996,0.33360799999999996,0.15940000000000001,0.10636,0.635112,0.364888,0.6851680000000001,0.70924,125.0
84,Kevin Durant,All Around Guard-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,All Around Guard,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,0.34952380952380957,0.3831047619047619,0.1866,0.09617142857142856,0.5991428571428571,0.4008571428571428,0.6360285714285714,0.6665904761904761,105.0
85,Kevin Durant,Movement Shooter-Movement Shooter-Shot Creator Guard-Wing Shot Creator,Movement Shooter,Movement Shooter,Shot Creator Guard,Wing Shot Creator,0.3153157894736842,0.45003157894736845,0.1365578947368421,0.05982105263157895,0.5874526315789473,0.4125473684210526,0.6566421052631578,0.7027157894736842,95.0
86,Kevin Durant,3&D-Movement Shooter-Movement Shooter-Rim Runner/Protector,3&D,Movement Shooter,Movement Shooter,Rim Runner/Protector,0.41401369863013704,0.37798630136986294,0.11738356164383562,0.041273972602739725,0.6914657534246574,0.30853424657534245,0.7045753424657534,0.7324794520547946,73.0
87,Kevin Durant,3&D-All Around Guard-Movement Shooter-Rim Runner/Protector,3&D,All Around Guard,Movement Shooter,Rim Runner/Protector,0.35895588235294124,0.2963382352941177,0.0560735294117647,0.15519117647058825,0.6305147058823529,0.369485294117647,0.6876323529411765,0.7149705882352941,68.0
88,Kevin Durant,All Around Guard-All Around Guard-Post Scorer-Shot Creator Guard,All Around Guard,All Around Guard,Post Scorer,Shot Creator Guard,0.23600000000000002,0.39298333333333335,0.20983333333333334,0.12626666666666667,0.59085,0.40915,0.6126833333333334,0.6818666666666666,60.0
89,Kevin Durant,3&D-All Around Guard-Rim Runner/Protector-Wing Shot Creator,3&D,All Around Guard,Rim Runner/Protector,Wing Shot Creator,0.31456140350877193,0.4342105263157895,0.10329824561403508,0.1122456140350877,0.6900877192982456,0.30991228070175436,0.6003684210526316,0.6371578947368421,57.0
90,LeBron James,All Around Big-Movement Shooter-Movement Shooter-Shot Creator Guard,All Around Big,Movement Shooter,Movement Shooter,Shot Creator Guard,0.28115999999999997,0.4848266666666667,0.14585777777777778,0.03805777777777778,0.6713066666666667,0.3286933333333333,0.5664222222222222,0.6142577777777778,225.0
91,LeBron James,Movement Shooter-Rim Runner/Protector-Shot Creator Guard-Wing Shot Creator,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,Wing Shot Creator,0.29834673366834175,0.4617085427135678,0.10997989949748743,0.0680753768844221,0.6151356783919597,0.3848643216080402,0.5971708542713567,0.6319798994974875,199.0
92,LeBron James,All Around Big-Glue guy-Rim Runner/Protector-Shot Creator Guard,All Around Big,Glue guy,Rim Runner/Protector,Shot Creator Guard,0.37580310880829015,0.3427150259067358,0.2127979274611399,0.13018134715025906,0.5812435233160621,0.4187564766839378,0.6188652849740932,0.6476165803108809,193.0
93,LeBron James,All Around Guard-Movement Shooter-Rim Runner/Protector-Wing Shot Creator,All Around Guard,Movement Shooter,Rim Runner/Protector,Wing Shot Creator,0.3448776595744681,0.4604255319148936,0.14701595744680854,0.07921808510638298,0.6005957446808511,0.3994042553191489,0.6158351063829787,0.62925,188.0
94,LeBron James,All Around Big-All Around Guard-Pure Point Guard-Rim Runner/Protector,All Around Big,All Around Guard,Pure Point Guard,Rim Runner/Protector,0.24673262032085566,0.4300106951871657,0.16441711229946523,0.1017379679144385,0.5916363636363637,0.4084652406417113,0.5359197860962568,0.5853796791443849,187.0
95,LeBron James,All Around Guard-Movement Shooter-Shot Creator Guard-Stretch Big,All Around Guard,Movement Shooter,Shot Creator Guard,Stretch Big,0.3556143790849673,0.3844248366013072,0.07418300653594771,0.08581045751633987,0.6218692810457517,0.3781307189542483,0.6569215686274509,0.6878169934640522,153.0
96,LeBron James,All Around Big-All Around Guard-Pure Point Guard-Wing Shot Creator,All Around Big,All Around Guard,Pure Point Guard,Wing Shot Creator,0.3604181818181818,0.43267272727272726,0.15556363636363638,0.06627272727272726,0.5923727272727273,0.4076272727272727,0.5990181818181818,0.6216181818181818,110.0
97,LeBron James,Shot Creator Guard-Shot Creator Guard-Stretch Big-Stretch Big,Shot Creator Guard,Shot Creator Guard,Stretch Big,Stretch Big,0.388,0.497,0.143,0.035,0.593,0.407,0.651,0.662,108.0
98,LeBron James,3&D-All Around Big-Movement Shooter-Pure Point Guard,3&D,All Around Big,Movement Shooter,Pure Point Guard,0.27895238095238095,0.43639047619047616,0.15944761904761906,0.06721904761904762,0.5885333333333334,0.41146666666666676,0.5666285714285714,0.6083333333333333,105.0
99,LeBron James,All Around Guard-Pure Point Guard-Rim Runner/Protector-Wing Shot Creator,All Around Guard,Pure Point Guard,Rim Runner/Protector,Wing Shot Creator,0.3264000000000001,0.4885444444444444,0.1680111111111111,0.09970000000000001,0.5875999999999999,0.4124000000000001,0.6407777777777778,0.6535555555555557,90.0
100,LeBron James,3&D-All Around Big-Pure Point Guard-Wing Shot Creator,3&D,All Around Big,Pure Point Guard,Wing Shot Creator,0.35109999999999997,0.4689714285714286,0.23158571428571426,0.08717142857142858,0.6332714285714286,0.3667285714285714,0.6809000000000001,0.6924857142857143,70.0
101,LeBron James,Glue guy-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,Glue guy,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,0.3529850746268656,0.5125970149253731,0.15446268656716422,0.06589552238805971,0.6022835820895522,0.39771641791044776,0.6306268656716417,0.6404477611940298,67.0
102,LeBron James,All Around Big-All Around Guard-Pure Point Guard-Shot Creator Guard,All Around Big,All Around Guard,Pure Point Guard,Shot Creator Guard,0.22424615384615385,0.544923076923077,0.1797076923076923,0.05218461538461539,0.6454461538461538,0.35455384615384616,0.6358769230769231,0.6676923076923077,65.0
103,LeBron James,3&D-Movement Shooter-Rim Runner/Protector-Shot Creator Guard,3&D,Movement Shooter,Rim Runner/Protector,Shot Creator Guard,0.4464444444444444,0.3481269841269842,0.18058730158730157,0.05126984126984128,0.6118730158730158,0.3883492063492064,0.6754603174603175,0.7076349206349207,63.0
104,LeBron James,Glue guy-Movement Shooter-Stretch Big-Wing Shot Creator,Glue guy,Movement Shooter,Stretch Big,Wing Shot Creator,0.4016909090909091,0.3573636363636364,0.14798181818181816,0.11181818181818183,0.7233999999999999,0.2769090909090909,0.7099454545454545,0.7315636363636363,55.0
105,Luka Dončić,All Around Guard-Movement Shooter-Movement Shooter-Rim Runner/Protector,All Around Guard,Movement Shooter,Movement Shooter,Rim Runner/Protector,0.36228950276243094,0.3984011049723757,0.08372707182320442,0.07534917127071823,0.5595370165745854,0.4404629834254144,0.6053657458563536,0.6384530386740331,905.0
