GROUP_ID,GROUP_NAME,TEAM_ID,SEASON
203932-203999-1627750-1629008-1631212,A. Gordon - N. Jokic - J. Murray - M. Porter Jr. - P. Watson,1610612743,2023-24
203200-203932-203999-1629008-1631221,J. Holiday - A. Gordon - N. Jokic - M. Porter Jr. - C. Gillespie,1610612743,2023-24
203200-203999-1631128-1631212-1631221,J. Holiday - N. Jokic - C. Braun - P. Watson - C. Gillespie,1610612743,2023-24
203200-203999-1627750-1631128-1631212,J. Holiday - N. Jokic - J. Murray - C. Braun - P. Watson,1610612743,2023-24
203200-203999-1631124-1631128-1631212,J. Holiday - N. Jokic - J. Strawther - C. Braun - P. Watson,1610612743,2023-24
203484-203932-203999-1627750-1631124,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Murray - J. Strawther,1610612743,2023-24
203484-203999-1629008-1631128-1631221,K. Caldwell-Pope - N. Jokic - M. Porter Jr. - C. Braun - C. Gillespie,1610612743,2023-24
203999-1629008-1631128-1631212-1631221,N. Jokic - M. Porter Jr. - C. Braun - P. Watson - C. Gillespie,1610612743,2023-24
203932-203999-1627750-1631128-1631212,A. Gordon - N. Jokic - J. Murray - C. Braun - P. Watson,1610612743,2023-24
203200-203932-203999-1631128-1631221,J. Holiday - A. Gordon - N. Jokic - C. Braun - C. Gillespie,1610612743,2023-24
203200-203484-203999-1629008-1631128,J. Holiday - K. Caldwell-Pope - N. Jokic - M. Porter Jr. - C. Braun,1610612743,2023-24
203484-203932-203999-1631124-1631128,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Strawther - C. Braun,1610612743,2023-24
203484-203999-1631124-1631128-1631212,K. Caldwell-Pope - N. Jokic - J. Strawther - C. Braun - P. Watson,1610612743,2023-24
203484-203999-1629008-1631124-1631212,K. Caldwell-Pope - N. Jokic - M. Porter Jr. - J. Strawther - P. Watson,1610612743,2023-24
203484-203999-1629008-1631212-1631221,K. Caldwell-Pope - N. Jokic - M. Porter Jr. - P. Watson - C. Gillespie,1610612743,2023-24
202704-203932-203999-1627750-1629008,R. Jackson - A. Gordon - N. Jokic - J. Murray - M. Porter Jr.,1610612743,2023-24
202704-203932-203999-1629008-1631212,R. Jackson - A. Gordon - N. Jokic - M. Porter Jr. - P. Watson,1610612743,2023-24
202704-203200-203484-203932-203999,R. Jackson - J. Holiday - K. Caldwell-Pope - A. Gordon - N. Jokic,1610612743,2023-24
203200-203999-1631124-1631212-1631221,J. Holiday - N. Jokic - J. Strawther - P. Watson - C. Gillespie,1610612743,2023-24
203484-203932-203999-1629618-1631128,K. Caldwell-Pope - A. Gordon - N. Jokic - J. Pickett - C. Braun,1610612743,2023-24
203999-1627750-1629008-1631124-1631212,N. Jokic - J. Murray - M. Porter Jr. - J. Strawther - P. Watson,1610612743,2023-24
203999-1631124-1631128-1631212-1631221,N. Jokic - J. Strawther - C. Braun - P. Watson - C. Gillespie,1610612743,2023-24
202704-203200-203484-203999-1631128,R. Jackson - J. Holiday - K. Caldwell-Pope - N. Jokic - C. Braun,1610612743,2023-24
202704-203200-203999-1631124-1631128,R. Jackson - J. Holiday - N. Jokic - J. Strawther - C. Braun,1610612743,2023-24
202704-203484-203999-1630192-1631128,R. Jackson - K. Caldwell-Pope - N. Jokic - Z. Nnaji - C. Braun,1610612743,2023-24
203200-203484-203932-203999-1629008,J. Holiday - K. Caldwell-Pope - A. Gordon - N. Jokic - M. Porter Jr.,1610612743,2023-24
203200-203484-203999-1627750-1631212,J. Holiday - K. Caldwell-Pope - N. Jokic - J. Murray - P. Watson,1610612743,2023-24
203200-203484-203999-1629008-1631212,J. Holiday - K. Caldwell-Pope - N. Jokic - M. Porter Jr. - P. Watson,1610612743,2023-24
203200-203484-203999-1631212-1631221,J. Holiday - K. Caldwell-Pope - N. Jokic - P. Watson - C. Gillespie,1610612743,2023-24
203200-203999-1629618-1631124-1631128,J. Holiday - N. Jokic - J. Pickett - J. Strawther - C. Braun,1610612743,2023-24
203200-203999-1629008-1631128-1631212,J. Holiday - N. Jokic - M. Porter Jr. - C. Braun - P. Watson,1610612743,2023-24
203484-203932-203999-1631128-1631221,K. Caldwell-Pope - A. Gordon - N. Jokic - C. Braun - C. Gillespie,1610612743,2023-24
202704-203200-203932-203999-1627750,R. Jackson - J. Holiday - A. Gordon - N. Jokic - J. Murray,1610612743,2023-24
202704-203200-203932-203999-1631124,R. Jackson - J. Holiday - A. Gordon - N. Jokic - J. Strawther,1610612743,2023-24
202704-203200-203999-1629008-1631212,R. Jackson - J. Holiday - N. Jokic - M. Porter Jr. - P. Watson,1610612743,2023-24
202704-203484-203932-203999-1631124,R. Jackson - K. Caldwell-Pope - A. Gordon - N. Jokic - J. Strawther,1610612743,2023-24
202704-203999-1630192-1631124-1631128,R. Jackson - N. Jokic - Z. Nnaji - J. Strawther - C. Braun,1610612743,2023-24
203932-203999-1627750-1629008-1631124,A. Gordon - N. Jokic - J. Murray - M. Porter Jr. - J. Strawther,1610612743,2023-24
